,Correct,OptionA,OptionB,OptionC,OptionD,Questions,Category
0, d, डॉक्टर, उपचार, नर्स, रोगी    ,  दिये गये विकल्पों में से संबन्धित शब्द/अक्षरों/संख्या को चुनिए। कॉलेज : छात्र :: अस्पताल : ? ,2.1
1, a, NRV, RVZ, CGK, KOS, दिये गये विकल्पों में से संबन्धित शब्द/अक्षरों/संख्या को चुनिए। DHL : PTX :: BFJ : ? ,2.1
2, c,125,248,342,343,  दिये गये विकल्पों में से संबन्धित शब्द/अक्षरों/संख्या को चुनिए। 5 : 124 :: 7 : ? ,2.1
3, d, सूरज, विश्व, शुक्र, उपग्रह, दिये गये विकल्पों में से संबन्धित शब्द/अक्षरों/संख्या को चुनिए। पृथवी : ग्रह :: चांद : ? ,2.1
4, b, LQGB, BGLQ, QBGL, BGQL, दिये गये विकल्पों में से संबन्धित शब्द/अक्षरों/संख्या को चुनिए।   EJOT : ________::YDIN : VAFK ,2.1
5, a,105,104,1003,1004, दिये गये विकल्पों में से संबन्धित शब्द/अक्षरों/संख्या को चुनिए।  100 : 102 : : 100000 : ? ,2.1
6, d, घुरघुराना, फुनफुनाना, चिल्लाना, चूँ चूँ करना, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित शब्द को चुनिए। भौंकना : कुत्ता : : ? : चिड़िया ,2.1
7, b, GWXE, WGCE, XWGE, WCDE, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित अक्षरों को चुनिए। ELQZ : AJOV : : VXTD : ? ,2.1
8, a,140,112,118,148, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 40 : 100 : : 56 : ? ,2.1
9, b, विटामिन डी, लौह, विटामिन ई, कैल्शियम, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित शब्द को चुनिए। घेघा : आयोडीन : : एनीमिया : ? ,2.1
10, b, H, K, J, I, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित अक्षर को चुनिए। DE : O : : AF : ? ,2.1
11, a,49,53,60,89, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 56 : 41 : : 94 : ? ,2.1
12, c, लेखक का नाम, शब्दावली, विषय-वस्तु, सारांश, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित शब्द को चुनिए। पंचांग : तिथि : : सूची : ? ,2.1
14, a,487,563,572,593, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 243 : 819 : : 163 : ? ,2.1
15, b, आर्द्रता, दूरी , मोटाई, वायु,निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित शब्द को चुनिए। दाब : वायुदाबमापी : : ? : मीलमापी ,2.1
16,a, BZYS, CZYS, SZYB, YZBC, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित अक्षरों को चुनिए। AEDM : ZQRN : : FLMO : ? ,2.1
17, b,291,326,347,443, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 243 : 578 : : 163 : ? ,2.1
18, b, हड्डी : कैल्सियम, आँखे : अंग, टाँग : पैर, कान : इंद्रियाँ, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित शब्द युग्म को चुनिए। ह्रदय : अंग : : ? : ? ,2.1
19, b, DIST, DIOT, BGOT, DSTO, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित अक्षरों को चुनिए। BPTW : CQUX : : CHNS : ? ,2.1
20, c,97,98,99,101, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 48 : 63 : : 80 : ? ,2.1
