sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,difficulty
1,a,https://i.imgur.com/MENDKzp.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
2,d,https://i.imgur.com/MhLsO0B.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
3,c,https://i.imgur.com/rrQSOcw.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
4,a,https://i.imgur.com/wGLe8jH.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
5,a,https://i.imgur.com/BgEpfVC.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
7,a,https://i.imgur.com/hO5GBvJ.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
8,d,https://i.imgur.com/qqZpIGb.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
9,a,https://i.imgur.com/cQO1gnq.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
10,d,https://i.imgur.com/ZLAWAvH.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
12,a,https://i.imgur.com/0IAoR1H.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
13,b,https://i.imgur.com/gzJy0Ev.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
15,b,https://i.imgur.com/iosxdOK.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
16,b,https://i.imgur.com/elMcM1l.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
18,a,https://i.imgur.com/ZbTwLYG.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
20,a,https://i.imgur.com/4XuIBpP.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
21,b,https://i.imgur.com/UM6Iz7v.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
22,a,https://i.imgur.com/L8BDm65.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
24,d,https://i.imgur.com/AKFEHyy.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,easy
1,b,https://i.imgur.com/DTGqNir.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
2,a,https://i.imgur.com/EjeKr5d.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
3,a,https://i.imgur.com/8UQcQ6u.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
4,a,https://i.imgur.com/FFqxhhM.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
6,a,https://i.imgur.com/nHJkhOo.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
7,a,https://i.imgur.com/bFJrSWl.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
9,a,https://i.imgur.com/ZBMaCi3.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
10,b,https://i.imgur.com/NGUoE2G.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
11,b,https://i.imgur.com/xJsdmMY.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
12,a,https://i.imgur.com/D4gNdT8.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
13,a,https://i.imgur.com/QhpdFTO.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
15,b,https://i.imgur.com/Pz2SHOh.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
16,a,https://i.imgur.com/hXMJfzR.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
17,d,https://i.imgur.com/VI4A3ww.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
18,c,https://i.imgur.com/v2bysKa.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
20,b,https://i.imgur.com/scwAbCt.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
22,b,https://i.imgur.com/Cf8KLlh.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
23,a,https://i.imgur.com/QkAKZIi.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
25,d,https://i.imgur.com/llGLF5K.png,cat_quant,A,B,C,D,11.1,cat,Eng,arun sharma,hard
