sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,,,,,,
1,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(01).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(01).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
2,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(02).png,inorganic_chem_JEE,11.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
3,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(03).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
4,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(04).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,topic_name,code
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(05).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,periodic table,1
6,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(06).png,inorganic_chem_JEE,11.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,periodic properties,2
7,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(07).png,inorganic_chem_JEE,11.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
8,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(08).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(09).png,inorganic_chem_JEE,11.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
10,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(10).png,inorganic_chem_JEE,11.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
11,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(11).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
12,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(12).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
13,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(13).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
14,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(14).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
15,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(15).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
16,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(16).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(16).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
17,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(17).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(17).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
18,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(18).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(18).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
19,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(19).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(19).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
20,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(20).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(20).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
21,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(21).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(21).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
22,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(22).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(22).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
23,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(23).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(23).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
24,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(24).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(24).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
25,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(25).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(25).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
26,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(26).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(26).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
27,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(27).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(27).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
28,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(28).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(28).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
29,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(29).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(29).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
30,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(30).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(30).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
31,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(31).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(31).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
32,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(32).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(32).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
33,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(33).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(33).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
34,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(34).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(34).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
