,QuestionLink,category,chp_name,correct,difficulty_level,direction,explanation,lang,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,topic_category,usedFor
0,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(01).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(01).png,Eng,A,B,C,D,E,chemistry,1,Cengage,1,JEE
1,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(02).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(02).png,Eng,A,B,C,D,E,chemistry,2,Cengage,1,JEE
2,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(03).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(03).png,Eng,A,B,C,D,E,chemistry,3,Cengage,5,JEE
3,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(04).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(04).png,Eng,A,B,C,D,E,chemistry,4,Cengage,4,JEE
4,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(05).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(05).png,Eng,A,B,C,D,E,chemistry,5,Cengage,1,JEE
5,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(06).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(06).png,Eng,A,B,C,D,E,chemistry,6,Cengage,2,JEE
6,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(07).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(07).png,Eng,A,B,C,D,E,chemistry,7,Cengage,2,JEE
7,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(08).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(08).png,Eng,A,B,C,D,E,chemistry,8,Cengage,5,JEE
8,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(09).png,12.1,Chemical Bonding,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(09).png,Eng,A,B,C,D,E,chemistry,9,Cengage,2,JEE
9,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(10).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(10).png,Eng,A,B,C,D,E,chemistry,10,Cengage,2,JEE
