sl.no.,correct,Question_link,direction,explanation,section_type,chp_category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,,,,,,
1,a,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(01).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(01).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
2,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(02).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
3,a,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(03).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
4,d,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(04).png,inorganic_chem_JEE,13.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,topic_name,code
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(05).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
6,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(06).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
7,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(07).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
8,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(08).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(09).png,inorganic_chem_JEE,13.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
10,c,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(10).PNG,inorganic_chem_JEE,13.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
11,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(11).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
12,d,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(12).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
13,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(13).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
14,a,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(14).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
15,a,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(15).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
16,d,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(16).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(16).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
17,c,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(17).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(17).png,inorganic_chem_JEE,13.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
19,b,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogenquestion/1(19).png,,https://s3.amazonaws.com/inorganicchemcengagepart1hydrogensolution/1(19).png,inorganic_chem_JEE,13.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
1,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(01).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(01).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
2,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(02).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
3,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(03).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
