,direction,QuestionLink,category,correct,lang,optA,optB,optC,optD,sl.no.,sources,usedFor,sectionType
0,,https://i.imgur.com/uptYfGk.png,3.1,d,Hindi,A,B,C,D,1,manohar pandey,gkSsc,GK
1,,https://i.imgur.com/BkdiyqM.png,3.1,c,Hindi,A,B,C,D,2,manohar pandey,gkSsc,GK
2,,https://i.imgur.com/1IiRsGl.png,3.1,d,Hindi,A,B,C,D,3,manohar pandey,gkSsc,GK
3,,https://i.imgur.com/fWAfxxZ.png,3.1,b,Hindi,A,B,C,D,5,manohar pandey,gkSsc,GK
4,,https://i.imgur.com/geDYw4W.png,3.1,d,Hindi,A,B,C,D,6,manohar pandey,gkSsc,GK
5,,https://i.imgur.com/ofDHPev.png,3.1,c,Hindi,A,B,C,D,7,manohar pandey,gkSsc,GK
6,,https://i.imgur.com/nDdPAQY.png,3.1,b,Hindi,A,B,C,D,8,manohar pandey,gkSsc,GK
7,,https://i.imgur.com/JUAnsqe.png,3.1,a,Hindi,A,B,C,D,10,manohar pandey,gkSsc,GK
8,,https://i.imgur.com/K9NOMXI.png,3.1,c,Hindi,A,B,C,D,11,manohar pandey,gkSsc,GK
9,,https://i.imgur.com/fPUIUB4.png,3.1,b,Hindi,A,B,C,D,12,manohar pandey,gkSsc,GK
10,,https://i.imgur.com/cz49uVg.png,3.1,a,Hindi,A,B,C,D,13,manohar pandey,gkSsc,GK
11,,https://i.imgur.com/RAV5arC.png,3.1,a,Hindi,A,B,C,D,14,manohar pandey,gkSsc,GK
12,,https://i.imgur.com/gl5gHQX.png,3.1,c,Hindi,A,B,C,D,15,manohar pandey,gkSsc,GK
13,,https://i.imgur.com/WKVTh1s.png,3.1,c,Hindi,A,B,C,D,16,manohar pandey,gkSsc,GK
14,,https://i.imgur.com/H8UTwvl.png,3.1,c,Hindi,A,B,C,D,17,manohar pandey,gkSsc,GK
15,,https://i.imgur.com/z8xl0N2.png,3.1,c,Hindi,A,B,C,D,18,manohar pandey,gkSsc,GK
16,,https://i.imgur.com/D0BZhJp.png,3.1,b,Hindi,A,B,C,D,19,manohar pandey,gkSsc,GK
17,,https://i.imgur.com/EkZUGus.png,3.1,b,Hindi,A,B,C,D,20,manohar pandey,gkSsc,GK
18,,https://i.imgur.com/c9qlhp7.png,3.1,c,Hindi,A,B,C,D,21,manohar pandey,gkSsc,GK
19,,https://i.imgur.com/AYZvpY8.png,3.1,c,Hindi,A,B,C,D,22,manohar pandey,gkSsc,GK
20,,https://i.imgur.com/fEpwuLg.png,3.1,a,Hindi,A,B,C,D,23,manohar pandey,gkSsc,GK
21,,https://i.imgur.com/uIvvXWV.png,3.1,a,Hindi,A,B,C,D,24,manohar pandey,gkSsc,GK
22,,https://i.imgur.com/F32b4C2.png,3.1,d,Hindi,A,B,C,D,25,manohar pandey,gkSsc,GK
23,,https://i.imgur.com/KZbG1Tc.png,3.1,a,Hindi,A,B,C,D,26,manohar pandey,gkSsc,GK
24,,https://i.imgur.com/EQUszaN.png,3.1,b,Hindi,A,B,C,D,27,manohar pandey,gkSsc,GK
25,,https://i.imgur.com/i9TOmT1.png,3.1,b,Hindi,A,B,C,D,28,manohar pandey,gkSsc,GK
26,,https://i.imgur.com/lE9ij8V.png,3.1,a,Hindi,A,B,C,D,29,manohar pandey,gkSsc,GK
27,,https://i.imgur.com/AYGePuj.png,3.1,a,Hindi,A,B,C,D,30,manohar pandey,gkSsc,GK
28,,https://i.imgur.com/imxitUu.png,3.1,b,Hindi,A,B,C,D,31,manohar pandey,gkSsc,GK
29,,https://i.imgur.com/nEpakjX.png,3.1,a,Hindi,A,B,C,D,32,manohar pandey,gkSsc,GK
30,,https://i.imgur.com/kRqBZsR.png,3.1,c,Hindi,A,B,C,D,33,manohar pandey,gkSsc,GK
31,,https://i.imgur.com/3sC1heZ.png,3.1,b,Hindi,A,B,C,D,34,manohar pandey,gkSsc,GK
32,,https://i.imgur.com/VEIE5v5.png,3.1,b,Hindi,A,B,C,D,35,manohar pandey,gkSsc,GK
33,,https://i.imgur.com/yMXf8mX.png,3.1,d,Hindi,A,B,C,D,36,manohar pandey,gkSsc,GK
34,,https://i.imgur.com/v43kcyJ.png,3.1,d,Hindi,A,B,C,D,38,manohar pandey,gkSsc,GK
35,,https://i.imgur.com/5hsQkY0.png,3.1,d,Hindi,A,B,C,D,39,manohar pandey,gkSsc,GK
36,,https://i.imgur.com/c8Pl5xL.png,3.1,a,Hindi,A,B,C,D,40,manohar pandey,gkSsc,GK
37,,https://i.imgur.com/t5U3bHg.png,3.1,c,Hindi,A,B,C,D,41,manohar pandey,gkSsc,GK
38,,https://i.imgur.com/yVT8jaK.png,3.1,d,Hindi,A,B,C,D,42,manohar pandey,gkSsc,GK
39,,https://i.imgur.com/BeZSko3.png,3.1,b,Hindi,A,B,C,D,43,manohar pandey,gkSsc,GK
40,,https://i.imgur.com/QdBoSm0.png,3.1,a,Hindi,A,B,C,D,44,manohar pandey,gkSsc,GK
