,QuestionLink,category,correct,lang,optA,optB,optC,optD,sectionType,sl.no,source,usedFor
0,https://i.imgur.com/vQFt8VP.png,5.1,c,Hindi,A,B,C,D,GK,1,manohar pandey,GROUP_D
1,https://i.imgur.com/AxLnyZC.png,5.1,b,Hindi,A,B,C,D,GK,2,manohar pandey,GROUP_D
2,https://i.imgur.com/FL5jRD0.png,5.1,b,Hindi,A,B,C,D,GK,3,manohar pandey,GROUP_D
3,https://i.imgur.com/2cGHLTI.png,5.1,c,Hindi,A,B,C,D,GK,4,manohar pandey,GROUP_D
4,https://i.imgur.com/BmTsGUg.png,5.1,a,Hindi,A,B,C,D,GK,6,manohar pandey,GROUP_D
5,https://i.imgur.com/9T4tveJ.png,5.1,a,Hindi,A,B,C,D,GK,7,manohar pandey,GROUP_D
6,https://i.imgur.com/nEpAv18.png,5.1,a,Hindi,A,B,C,D,GK,8,manohar pandey,GROUP_D
7,https://i.imgur.com/yIFX5Fp.png,5.1,b,Hindi,A,B,C,D,GK,10,manohar pandey,GROUP_D
8,https://i.imgur.com/1WBhe9K.png,5.1,a,Hindi,A,B,C,D,GK,11,manohar pandey,GROUP_D
9,https://i.imgur.com/T5zV10w.png,5.1,b,Hindi,A,B,C,D,GK,12,manohar pandey,GROUP_D
10,https://i.imgur.com/PhAf16r.png,5.1,d,Hindi,A,B,C,D,GK,13,manohar pandey,GROUP_D
11,https://i.imgur.com/1V0NxTV.png,5.1,d,Hindi,A,B,C,D,GK,14,manohar pandey,GROUP_D
12,https://i.imgur.com/tLkIl0X.png,5.1,c,Hindi,A,B,C,D,GK,15,manohar pandey,GROUP_D
13,https://i.imgur.com/Lk5lJLi.png,5.1,c,Hindi,A,B,C,D,GK,16,manohar pandey,GROUP_D
14,https://i.imgur.com/5ZZZ05E.png,5.1,b,Hindi,A,B,C,D,GK,17,manohar pandey,GROUP_D
15,https://i.imgur.com/1OxxGsm.png,5.1,c,Hindi,A,B,C,D,GK,18,manohar pandey,GROUP_D
