sl.no.,correct,QuestionLink,direction,explanation,section_type,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,sl. No.
1,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (01).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
2,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (02).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
3,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (03).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
4,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (04).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
5,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (05).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
6,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (06).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
7,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (07).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
8,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (08).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
9,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (09).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
10,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (10).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
11,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (11).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
12,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (12).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
