,QuestionLink,category,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,usedFor
0,https://i.imgur.com/16d9o55.png,2.1,4,,https://i.imgur.com/xrWMuQ5.png,Bi,Analogy,A,B,C,D,,Reasoning,1,Vidya,ssc
1,https://i.imgur.com/qCXMKmy.png,2.1,1,,https://i.imgur.com/dw1got6.png,Bi,Analogy,A,B,C,D,,Reasoning,2,Vidya,ssc
2,https://i.imgur.com/sQmkw2Q.png,2.1,3,,https://i.imgur.com/5hKNus7.png,Bi,Analogy,A,B,C,D,,Reasoning,3,Vidya,ssc
3,https://i.imgur.com/w5EtQc0.png,2.1,4,,https://i.imgur.com/xE2Lpj8.png,Bi,Analogy,A,B,C,D,,Reasoning,4,Vidya,ssc
4,https://i.imgur.com/nndiawb.png,2.1,2,,https://i.imgur.com/jYUYUVb.png,Bi,Analogy,A,B,C,D,,Reasoning,5,Vidya,ssc
5,https://i.imgur.com/kMzJpNM.png,2.1,4,,https://i.imgur.com/S8qqpvX.png,Bi,Analogy,A,B,C,D,,Reasoning,6,Vidya,ssc
6,https://i.imgur.com/nZ77dWL.png,2.1,4,,https://i.imgur.com/amLZSKv.png,Bi,Analogy,A,B,C,D,,Reasoning,7,Vidya,ssc
7,https://i.imgur.com/feZGn9E.png,2.1,2,,https://i.imgur.com/eCLpnfm.png,Bi,Analogy,A,B,C,D,,Reasoning,8,Vidya,ssc
8,https://i.imgur.com/eXbKMUJ.png,2.1,2,,https://i.imgur.com/FtAx7VF.png,Bi,Analogy,A,B,C,D,,Reasoning,9,Vidya,ssc
9,https://i.imgur.com/NFrSZrx.png,2.1,1,,https://i.imgur.com/ezKWNHG.png,Bi,Analogy,A,B,C,D,,Reasoning,10,Vidya,ssc
10,https://i.imgur.com/AEoVNL6.png,2.1,4,,,Bi,Analogy,A,B,C,D,,Reasoning,11,Vidya,ssc
11,https://i.imgur.com/qnVY2sV.png,2.1,2,,https://i.imgur.com/mvjoNbP.png,Bi,Analogy,A,B,C,D,,Reasoning,12,Vidya,ssc
12,https://i.imgur.com/P8JkgUS.png,2.1,3,,https://i.imgur.com/QApRnvT.png,Bi,Analogy,A,B,C,D,,Reasoning,13,Vidya,ssc
13,https://i.imgur.com/lYDUMo7.png,2.1,2,,https://i.imgur.com/6izZcoa.png,Bi,Analogy,A,B,C,D,,Reasoning,14,Vidya,ssc
14,https://i.imgur.com/RlR9ZIo.png,2.1,3,,https://i.imgur.com/SYxv9pT.png,Bi,Analogy,A,B,C,D,,Reasoning,15,Vidya,ssc
15,https://i.imgur.com/sFtoBuE.png,2.1,3,,https://i.imgur.com/XMvcH7G.png,Bi,Analogy,A,B,C,D,,Reasoning,16,Vidya,ssc
16,https://i.imgur.com/VKobw9X.png,2.1,4,,https://i.imgur.com/BgkNG2K.png,Bi,Analogy,A,B,C,D,,Reasoning,17,Vidya,ssc
17,https://i.imgur.com/fnEUiZF.png,2.1,4,,https://i.imgur.com/kvDp6El.png,Bi,Analogy,A,B,C,D,,Reasoning,18,Vidya,ssc
18,https://i.imgur.com/TwjgeUl.png,2.1,4,,https://i.imgur.com/1sHXPRf.png,Bi,Analogy,A,B,C,D,,Reasoning,19,Vidya,ssc
19,https://i.imgur.com/kvsuS1a.png,2.1,4,,https://i.imgur.com/rXawZBj.png,Bi,Analogy,A,B,C,D,,Reasoning,20,Vidya,ssc
