sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,Unnamed: 18,Unnamed: 19
1,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (01).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
2,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (02).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
3,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (03).png,Maths_IIT,10.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
4,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (04).png,Maths_IIT,10.1,2,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
5,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (05).png,Maths_IIT,10.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
6,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (06).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
7,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (07).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
8,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (08).png,Maths_IIT,10.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
9,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (09).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
10,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (10).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
11,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (11).png,Maths_IIT,10.1,1,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
12,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (12).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
13,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (13).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
14,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (14).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
15,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (15).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
16,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (16).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
17,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (17).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
18,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (18).png,Maths_IIT,10.1,1,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
19,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (19).png,Maths_IIT,10.1,2,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
20,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (20).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
21,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (21).png,Maths_IIT,10.1,2,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
22,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (22).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (22).png,Maths_IIT,10.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
23,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (23).png,Maths_IIT,10.1,9,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
24,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (24).png,Maths_IIT,10.1,2,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
25,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (25).png,Maths_IIT,10.1,4,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
