,sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
0,1,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/187 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/187 (01).png,bio,1.1,1,E,A,B,C,D,,NEET,Eng,Universal,The Living World
1,2,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/187 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/187 (02).png,bio,1.1,1,E,A,B,C,D,,NEET,Eng,Universal,The Living World
2,3,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/188 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/188 (01).png,bio,1.1,1,M,A,B,C,D,,NEET,Eng,Universal,The Living World
3,4,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/188 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/188 (02).png,bio,1.1,1,D,A,B,C,D,,NEET,Eng,Universal,The Living World
4,5,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/188 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/188 (03).png,bio,1.1,1,M,A,B,C,D,,NEET,Eng,Universal,The Living World
5,6,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/188 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/188 (04).png,bio,1.1,1,M,A,B,C,D,,NEET,Eng,Universal,The Living World
6,7,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/189 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/189 (01).png,bio,1.1,1,M,A,B,C,D,,NEET,Eng,Universal,The Living World
7,8,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 Que/189 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 1 sol/189 (02).png,bio,1.1,1,E,A,B,C,D,,NEET,Eng,Universal,The Living World
8,1,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/189 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/189 (03).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
9,2,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/189 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/189 (04).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
10,3,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/189 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/189 (05).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
11,4,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/189 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/189 (06).png,bio,1.1,3,E,A,B,C,D,,NEET,Eng,Universal,The Living World
