sl.no.,correct,QuestionLink,direction,explanation,sectionType,optA,optB,optC,optD,category,usedFor,lang,sources
1,a,https://i.imgur.com/mfr9RMK.png,,https://i.imgur.com/l3tH47S.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
2,a,https://i.imgur.com/XXDM1fH.png,,https://i.imgur.com/whCNvxz.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
3,b,https://i.imgur.com/yF3BDYb.png,,https://i.imgur.com/slHTPlR.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
4,b,https://i.imgur.com/6OpaqVR.png,,https://i.imgur.com/xasW4Q0.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
5,a,https://i.imgur.com/d3tolWt.png,,https://i.imgur.com/cQfFTsU.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
6,c,https://i.imgur.com/jXVx93m.png,,https://i.imgur.com/XXgQ1Uo.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
7,d,https://i.imgur.com/9nUijp9.png,,https://i.imgur.com/WCmXb2g.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
8,d,https://i.imgur.com/37EfHIf.png,,https://i.imgur.com/UbAdBHM.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
9,d,https://i.imgur.com/DuRyq50.png,,https://i.imgur.com/xLRHWdN.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
10,d,https://i.imgur.com/6N2OPyg.png,,https://i.imgur.com/LF99Lm4.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
11,a,https://i.imgur.com/RwCDkgp.png,,https://i.imgur.com/LPK2iWO.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
12,c,https://i.imgur.com/8J1ti8G.png,,https://i.imgur.com/WTFd60l.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
13,d,https://i.imgur.com/UH8akqV.png,,https://i.imgur.com/IECW05N.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
14,d,https://i.imgur.com/l56lyqH.png,,https://i.imgur.com/hVR1eIB.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
16,c,https://i.imgur.com/V6xjjof.png,,https://i.imgur.com/wh7RBxV.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
17,b,https://i.imgur.com/khJuW3V.png,,https://i.imgur.com/dl7fcsr.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
18,d,https://i.imgur.com/HulHa7x.png,,https://i.imgur.com/R8ffFQf.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
20,b,https://i.imgur.com/ghjW7Ur.png,,https://i.imgur.com/1J7Ovhr.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
21,d,https://i.imgur.com/kSskyyn.png,,https://i.imgur.com/oUhIt3E.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
