,QuestionLink,category,correct,lang,optA,optB,optC,optD,sectionType,sl.no,sources,usedFor
0,https://i.imgur.com/63FUVb0.png,8.1,b,Hindi,A,B,C,D,gk,1,manohar pandey,GROUP_D
1,https://i.imgur.com/RVjSMgE.png,8.1,d,Hindi,A,B,C,D,gk,2,manohar pandey,GROUP_D
2,https://i.imgur.com/B1qP1XG.png,8.1,a,Hindi,A,B,C,D,gk,3,manohar pandey,GROUP_D
3,https://i.imgur.com/Jhr87vu.png,8.1,d,Hindi,A,B,C,D,gk,4,manohar pandey,GROUP_D
4,https://i.imgur.com/wbOy2kW.png,8.1,a,Hindi,A,B,C,D,gk,5,manohar pandey,GROUP_D
5,https://i.imgur.com/LluZ6zx.png,8.1,d,Hindi,A,B,C,D,gk,6,manohar pandey,GROUP_D
6,https://i.imgur.com/gGcSbFf.png,8.1,a,Hindi,A,B,C,D,gk,7,manohar pandey,GROUP_D
7,https://i.imgur.com/n5qRhlg.png,8.1,a,Hindi,A,B,C,D,gk,8,manohar pandey,GROUP_D
8,https://i.imgur.com/8abdLc9.png,8.1,b,Hindi,A,B,C,D,gk,9,manohar pandey,GROUP_D
9,https://i.imgur.com/qVhiYxy.png,8.1,b,Hindi,A,B,C,D,gk,10,manohar pandey,GROUP_D
10,https://i.imgur.com/3NWPIX4.png,8.1,c,Hindi,A,B,C,D,gk,11,manohar pandey,GROUP_D
11,https://i.imgur.com/OkG6vXs.png,8.1,c,Hindi,A,B,C,D,gk,12,manohar pandey,GROUP_D
12,https://i.imgur.com/K1j65Be.png,8.1,b,Hindi,A,B,C,D,gk,13,manohar pandey,GROUP_D
13,https://i.imgur.com/Df4cp4u.png,8.1,d,Hindi,A,B,C,D,gk,14,manohar pandey,GROUP_D
14,https://i.imgur.com/CjyheZT.png,8.1,d,Hindi,A,B,C,D,gk,15,manohar pandey,GROUP_D
15,https://i.imgur.com/F4aAMqv.png,8.1,b,Hindi,A,B,C,D,gk,16,manohar pandey,GROUP_D
16,https://i.imgur.com/zYXBhbP.png,8.1,c,Hindi,A,B,C,D,gk,17,manohar pandey,GROUP_D
17,https://i.imgur.com/FjLUoS5.png,8.1,d,Hindi,A,B,C,D,gk,18,manohar pandey,GROUP_D
18,https://i.imgur.com/Snxcdvm.png,8.1,a,Hindi,A,B,C,D,gk,19,manohar pandey,GROUP_D
19,https://i.imgur.com/tvQ8S83.png,8.1,b,Hindi,A,B,C,D,gk,20,manohar pandey,GROUP_D
20,https://i.imgur.com/oudJY8P.png,8.1,c,Hindi,A,B,C,D,gk,21,manohar pandey,GROUP_D
21,https://i.imgur.com/ExpeClq.png,8.1,b,Hindi,A,B,C,D,gk,22,manohar pandey,GROUP_D
22,https://i.imgur.com/UTnJQfu.png,8.1,d,Hindi,A,B,C,D,gk,23,manohar pandey,GROUP_D
23,https://i.imgur.com/a3kUDym.png,8.1,d,Hindi,A,B,C,D,gk,24,manohar pandey,GROUP_D
24,https://i.imgur.com/zVqYnWD.png,8.1,b,Hindi,A,B,C,D,gk,25,manohar pandey,GROUP_D
25,https://i.imgur.com/0VdADaV.png,8.1,c,Hindi,A,B,C,D,gk,26,manohar pandey,GROUP_D
26,https://i.imgur.com/JnqZ4pT.png,8.1,b,Hindi,A,B,C,D,gk,27,manohar pandey,GROUP_D
27,https://i.imgur.com/CwgwPw0.png,8.1,c,Hindi,A,B,C,D,gk,28,manohar pandey,GROUP_D
28,https://i.imgur.com/JCEuwCi.png,8.1,d,Hindi,A,B,C,D,gk,29,manohar pandey,GROUP_D
29,https://i.imgur.com/mEBlgDG.png,8.1,d,Hindi,A,B,C,D,gk,30,manohar pandey,GROUP_D
