,Unnamed: 0,QuestionLink,category,chp_name,correct,difficulty_level,direction,explanation,lang,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,topic_category,usedFor,,,,,,
0,0,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(01).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(01).png,Eng,A,B,C,D,E,chemistry_iit,1,Cengage,1,JEE,,,,,,
1,1,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(02).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(02).png,Eng,A,B,C,D,E,chemistry_iit,2,Cengage,1,JEE,,,,,,
2,2,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(03).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(03).png,Eng,A,B,C,D,E,chemistry_iit,3,Cengage,5,JEE,,,,,,
3,3,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(04).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(04).png,Eng,A,B,C,D,E,chemistry_iit,4,Cengage,4,JEE,,,,,,
4,4,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(05).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(05).png,Eng,A,B,C,D,E,chemistry_iit,5,Cengage,1,JEE,,,,,,
5,5,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(06).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(06).png,Eng,A,B,C,D,E,chemistry_iit,6,Cengage,2,JEE,,,,,,
6,6,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(07).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(07).png,Eng,A,B,C,D,E,chemistry_iit,7,Cengage,2,JEE,,,,,,
7,7,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(08).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(08).png,Eng,A,B,C,D,E,chemistry_iit,8,Cengage,5,JEE,,,,,,
8,8,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(09).png,12.1,Chemical Bonding,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(09).png,Eng,A,B,C,D,E,chemistry_iit,9,Cengage,2,JEE,,,,,,
9,9,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(10).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(10).png,Eng,A,B,C,D,E,chemistry_iit,10,Cengage,2,JEE,,,,,,
10,10,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(11).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(11).png,Eng,A,B,C,D,E,chemistry_iit,11,Cengage,2,JEE,,,,,,
11,11,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(12).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(12).png,Eng,A,B,C,D,E,chemistry_iit,12,Cengage,2,JEE,,,,,,
12,12,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(13).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(13).png,Eng,A,B,C,D,E,chemistry_iit,13,Cengage,2,JEE,,,,,,
13,13,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(14).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(14).png,Eng,A,B,C,D,E,chemistry_iit,14,Cengage,2,JEE,,,,,,
14,14,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(15).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(15).png,Eng,A,B,C,D,E,chemistry_iit,15,Cengage,2,JEE,,,,,,
15,15,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(16).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(16).png,Eng,A,B,C,D,E,chemistry_iit,16,Cengage,2,JEE,,,,,,
16,16,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(17).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(17).png,Eng,A,B,C,D,E,chemistry_iit,17,Cengage,2,JEE,,,,,,
17,17,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(18).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(18).png,Eng,A,B,C,D,E,chemistry_iit,18,Cengage,2,JEE,,,,,,
18,18,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(19).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(19).png,Eng,A,B,C,D,E,chemistry_iit,19,Cengage,1,JEE,,,,,,
19,19,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(20).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(20).png,Eng,A,B,C,D,E,chemistry_iit,20,Cengage,1,JEE,,,,,,
20,20,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(21).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(21).png,Eng,A,B,C,D,E,chemistry_iit,21,Cengage,1,JEE,,,,,,
21,21,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(22).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(22).png,Eng,A,B,C,D,E,chemistry_iit,22,Cengage,2,JEE,,,,,,
