sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,source,name
1,3,https://i.imgur.com/f2Btxcq.png,,3,https://i.imgur.com/gcMiGFE.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,2,https://i.imgur.com/owjcGM4.png,,3,https://i.imgur.com/ei4JrpR.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,1,https://i.imgur.com/rVz6q9N.png,,3,https://i.imgur.com/iQhaI3h.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,2,https://i.imgur.com/7zn56Zg.png,,3,https://i.imgur.com/h8vFZGw.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,1,https://i.imgur.com/U7x8aF2.png,,3,https://i.imgur.com/dyER4Sd.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,4,https://i.imgur.com/YMctEoX.png,,3,https://i.imgur.com/TpJ75Mi.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,4,https://i.imgur.com/T05izQx.png,,3,https://i.imgur.com/YuwT2zi.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
8,3,https://i.imgur.com/dsQzFvq.png,,3,https://i.imgur.com/8ned13K.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
9,4,https://i.imgur.com/MJfqqr7.png,,"4, 3",https://i.imgur.com/uucQyww.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,4,https://i.imgur.com/1haXGK6.png,,5(a),https://i.imgur.com/3X8ZMh1.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,3,https://i.imgur.com/UNiWfdF.png,,6,https://i.imgur.com/0hg71Jq.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,2,https://i.imgur.com/IH0quvt.png,,5(b),https://i.imgur.com/RqNJZsV.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,3,https://i.imgur.com/e2IiyrS.png,,1,https://i.imgur.com/73FzkZz.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,2,https://i.imgur.com/S26HeL9.png,,1,https://i.imgur.com/baTRZHQ.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/Mhwn473.png,,7,https://i.imgur.com/1XZRbHu.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,4,https://i.imgur.com/AAuJUaK.png,,1,https://i.imgur.com/wbn5t8N.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
8,4,https://i.imgur.com/STSJBgF.png,,1,https://i.imgur.com/OXHmaXw.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
9,2,https://i.imgur.com/1cdXpHM.png,,5(d),https://i.imgur.com/vHYkWG4.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
10,3,https://i.imgur.com/RdnPXjr.png,,1,https://i.imgur.com/wyJhpwE.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
11,1,https://i.imgur.com/rEgesTf.png,,1,https://i.imgur.com/nuBlytK.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
12,2,https://i.imgur.com/NGyUqvy.png,,8,https://i.imgur.com/K4mJzz6.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
13,3,https://i.imgur.com/YdSWi1u.png,,10,https://i.imgur.com/MYAilxz.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
14,2,https://i.imgur.com/fgMKY9h.png,,5(d),https://i.imgur.com/xEWOtaX.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
15,3,https://i.imgur.com/1R2dChC.png,,1,https://i.imgur.com/hpIYdAf.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
16,1,https://i.imgur.com/OSxzbSN.png,,7(b),https://i.imgur.com/DOFKqcS.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
17,3,https://i.imgur.com/nPDtMm3.png,,6,https://i.imgur.com/HhfnaN3.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,2,https://i.imgur.com/hUEbGuN.png,,9,https://i.imgur.com/coWtdYu.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,1,https://i.imgur.com/lYBSqUz.png,,2,https://i.imgur.com/969y50C.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,3,https://i.imgur.com/ewI4C42.png,,11(a),https://i.imgur.com/mWcTcGQ.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,1,https://i.imgur.com/FZtRrUG.png,,11(b),https://i.imgur.com/RnKCay0.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,1,https://i.imgur.com/9AgRgUr.png,,11(b),https://i.imgur.com/VXCDjl7.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,2,https://i.imgur.com/Ft6W0Ug.png,,2,https://i.imgur.com/F9KZjQg.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
8,2,https://i.imgur.com/E9JM6D4.png,,"3, 4",https://i.imgur.com/QTEXsu1.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
9,4,https://i.imgur.com/eYXS1O0.png,,from options,https://i.imgur.com/fgu950V.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
10,2,https://i.imgur.com/cHFFHAX.png,,2,https://i.imgur.com/8aCl7Gt.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
11,3,https://i.imgur.com/sGn6W8W.png,,2,https://i.imgur.com/BlUBtkj.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
