,QuestionLink,category,concepts,correct,direction,explanation,lang,name,optA,optB,optC,optD,sectionType,sl.no,sources,usedFor
0,https://i.imgur.com/f2Btxcq.png,8.1,3,3,,https://i.imgur.com/gcMiGFE.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
1,https://i.imgur.com/owjcGM4.png,8.1,3,2,,https://i.imgur.com/ei4JrpR.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
2,https://i.imgur.com/rVz6q9N.png,8.1,3,1,,https://i.imgur.com/iQhaI3h.png,Bi ,LCM And HCF,A,B,C,D,Maths,3,Kiran Maths,ssc
3,https://i.imgur.com/7zn56Zg.png,8.1,3,2,,https://i.imgur.com/h8vFZGw.png,Bi ,LCM And HCF,A,B,C,D,Maths,4,Kiran Maths,ssc
4,https://i.imgur.com/U7x8aF2.png,8.1,3,1,,https://i.imgur.com/dyER4Sd.png,Bi ,LCM And HCF,A,B,C,D,Maths,5,Kiran Maths,ssc
5,https://i.imgur.com/YMctEoX.png,8.1,3,4,,https://i.imgur.com/TpJ75Mi.png,Bi ,LCM And HCF,A,B,C,D,Maths,6,Kiran Maths,ssc
6,https://i.imgur.com/T05izQx.png,8.1,3,4,,https://i.imgur.com/YuwT2zi.png,Bi ,LCM And HCF,A,B,C,D,Maths,7,Kiran Maths,ssc
7,https://i.imgur.com/dsQzFvq.png,8.1,3,3,,https://i.imgur.com/8ned13K.png,Bi ,LCM And HCF,A,B,C,D,Maths,8,Kiran Maths,ssc
8,https://i.imgur.com/MJfqqr7.png,8.1,"4, 3",4,,https://i.imgur.com/uucQyww.png,Bi ,LCM And HCF,A,B,C,D,Maths,9,Kiran Maths,ssc
9,https://i.imgur.com/1haXGK6.png,8.1,5(a),4,,https://i.imgur.com/3X8ZMh1.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
10,https://i.imgur.com/UNiWfdF.png,8.1,6,3,,https://i.imgur.com/0hg71Jq.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
