,QuestionLink,category,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,usedFor
0,https://i.imgur.com/yGM1ofn.png,29.1,c,,https://i.imgur.com/rBeeQ9c.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,1,Paramount,ssc
1,https://i.imgur.com/Ui1DyF7.png,29.1,c,,https://i.imgur.com/1vUXReW.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,2,Paramount,ssc
2,https://i.imgur.com/sORYG5V.png,29.1,c,,https://i.imgur.com/VvrTJod.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,3,Paramount,ssc
3,https://i.imgur.com/yqmNhgd.png,29.1,d,,https://i.imgur.com/GZueMgx.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,4,Paramount,ssc
4,https://i.imgur.com/4UyBHH5.png,29.1,a,,https://i.imgur.com/LxiFeBo.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,5,Paramount,ssc
5,https://i.imgur.com/1y9zslH.png,29.1,b,,https://i.imgur.com/88M0U26.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,6,Paramount,ssc
6,https://i.imgur.com/SsuJ8N1.png,29.1,b,,https://i.imgur.com/HVClzSf.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,7,Paramount,ssc
7,https://i.imgur.com/Jfze59P.png,29.1,c,,,Hindi,Mensuration 3D,A,B,C,D,,Maths,8,Paramount,ssc
8,https://i.imgur.com/aOMjFaN.png,29.1,b,,,Hindi,Mensuration 3D,A,B,C,D,,Maths,9,Paramount,ssc
9,https://i.imgur.com/nsBQNQn.png,29.1,d,,https://i.imgur.com/bfVy8u5.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,10,Paramount,ssc
10,https://i.imgur.com/LXSafVI.png,29.1,a,,https://i.imgur.com/fsv7Wnv.png,Hindi,Mensuration 3D,A,B,C,D,,Maths,11,Paramount,ssc
