,QuestionLink,category,concepts,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no,source,usedFor
0,https://i.imgur.com/dk7LxTq.png,14.1,1,4,,https://i.imgur.com/kNEuGGg.png,Bi,Simple Interest,A,B,C,D,,Maths,2,Kiran Maths,ssc
1,https://i.imgur.com/RvFvZGn.png,14.1,1,4,,https://i.imgur.com/4uXV2v4.png,Bi,Simple Interest,A,B,C,D,,Maths,3,Kiran Maths,ssc
2,https://i.imgur.com/PJnCG3b.png,14.1,1,1,,https://i.imgur.com/0esET1B.png,Bi,Simple Interest,A,B,C,D,,Maths,4,Kiran Maths,ssc
3,https://i.imgur.com/AxU4Oq1.png,14.1,"1,2",3,,https://i.imgur.com/XUc9TwE.png,Bi,Simple Interest,A,B,C,D,,Maths,5,Kiran Maths,ssc
4,https://i.imgur.com/lpceLIJ.png,14.1,1,3,,https://i.imgur.com/L5ETe86.png,Bi,Simple Interest,A,B,C,D,,Maths,6,Kiran Maths,ssc
5,https://i.imgur.com/BMLCLe9.png,14.1,1,1,,https://i.imgur.com/fMqWaAt.png,Bi,Simple Interest,A,B,C,D,,Maths,7,Kiran Maths,ssc
6,https://i.imgur.com/nb8ct4k.png,14.1,1,1,,https://i.imgur.com/xdsXiw4.png,Bi,Simple Interest,A,B,C,D,,Maths,8,Kiran Maths,ssc
7,https://i.imgur.com/7HbIog3.png,14.1,1,2,,https://i.imgur.com/rtn8OqK.png,Bi,Simple Interest,A,B,C,D,,Maths,9,Kiran Maths,ssc
8,https://i.imgur.com/jcHJT70.png,14.1,1,3,,https://i.imgur.com/DCc6HWI.png,Bi,Simple Interest,A,B,C,D,,Maths,11,Kiran Maths,ssc
9,https://i.imgur.com/7YXn8VO.png,14.1,1,4,,https://i.imgur.com/YptkfPE.png,Bi,Simple Interest,A,B,C,D,,Maths,12,Kiran Maths,ssc
10,https://i.imgur.com/VvklOWP.png,14.1,1,1,,https://i.imgur.com/cwMtkbV.png,Bi,Simple Interest,A,B,C,D,,Maths,14,Kiran Maths,ssc
11,https://i.imgur.com/gPIEPQ2.png,14.1,1,3,,https://i.imgur.com/b5Sbdn0.png,Bi,Simple Interest,A,B,C,D,,Maths,15,Kiran Maths,ssc
12,https://i.imgur.com/QlL1QrP.png,14.1,1,4,,https://i.imgur.com/qOqwJWB.png,Bi,Simple Interest,A,B,C,D,,Maths,16,Kiran Maths,ssc
13,https://i.imgur.com/0xJ0BGI.png,14.1,1,2,,https://i.imgur.com/A791FKb.png,Bi,Simple Interest,A,B,C,D,,Maths,17,Kiran Maths,ssc
14,https://i.imgur.com/yXeLavd.png,14.1,"1,3",1,,https://i.imgur.com/khBYVlq.png,Bi,Simple Interest,A,B,C,D,,Maths,18,Kiran Maths,ssc
15,https://i.imgur.com/3l1nUTT.png,14.1,"1,3",1,,https://i.imgur.com/ey3dyA0.png,Bi,Simple Interest,A,B,C,D,,Maths,19,Kiran Maths,ssc
16,https://i.imgur.com/YarFE0Q.png,14.1,1,1,,https://i.imgur.com/3P9dCKj.png,Bi,Simple Interest,A,B,C,D,,Maths,20,Kiran Maths,ssc
17,https://i.imgur.com/tSJ4wDq.png,14.1,1,2,,https://i.imgur.com/i3DnBFr.png,Bi,Simple Interest,A,B,C,D,,Maths,22,Kiran Maths,ssc
18,https://i.imgur.com/0nvkpbe.png,14.1,"1,3",3,,https://i.imgur.com/heiRA7F.png,Bi,Simple Interest,A,B,C,D,,Maths,23,Kiran Maths,ssc
19,https://i.imgur.com/ulk95zS.png,14.1,"1,3",4,,https://i.imgur.com/x6c5k1g.png,Bi,Simple Interest,A,B,C,D,,Maths,24,Kiran Maths,ssc
20,https://i.imgur.com/I5DnWBH.png,14.1,1,4,,https://i.imgur.com/SuuXBjz.png,Bi,Simple Interest,A,B,C,D,,Maths,25,Kiran Maths,ssc
21,https://i.imgur.com/oUtksnt.png,14.1,"1,3",3,,https://i.imgur.com/lFFBkPQ.png,Bi,Simple Interest,A,B,C,D,,Maths,2,Kiran Maths,ssc
22,https://i.imgur.com/PHHZDUI.png,14.1,"1,3",4,,https://i.imgur.com/B9TZyku.png,Bi,Simple Interest,A,B,C,D,,Maths,3,Kiran Maths,ssc
23,https://i.imgur.com/lXyryMA.png,14.1,"1,3",2,,https://i.imgur.com/4nLDA8E.png,Bi,Simple Interest,A,B,C,D,,Maths,4,Kiran Maths,ssc
24,https://i.imgur.com/xJXcaSD.png,14.1,1,1,,https://i.imgur.com/VS0KRiy.png,Bi,Simple Interest,A,B,C,D,,Maths,5,Kiran Maths,ssc
25,https://i.imgur.com/k2DrUmS.png,14.1,1,4,,https://i.imgur.com/2m9TopB.png,Bi,Simple Interest,A,B,C,D,,Maths,6,Kiran Maths,ssc
26,https://i.imgur.com/t1PY2zC.png,14.1,1,2,,https://i.imgur.com/iaZJ3y0.png,Bi,Simple Interest,A,B,C,D,,Maths,7,Kiran Maths,ssc
27,https://i.imgur.com/kvmohVQ.png,14.1,"1,3",3,,https://i.imgur.com/pjOdN1K.png,Bi,Simple Interest,A,B,C,D,,Maths,1,Kiran Maths,ssc
28,https://i.imgur.com/AOMGFbD.png,14.1,"1,3",1,,https://i.imgur.com/87mH91c.png,Bi,Simple Interest,A,B,C,D,,Maths,2,Kiran Maths,ssc
29,https://i.imgur.com/oZaGNc2.png,14.1,"1,3",3,,https://i.imgur.com/bipJuYY.png,Bi,Simple Interest,A,B,C,D,,Maths,3,Kiran Maths,ssc
30,https://i.imgur.com/P6oVTar.png,14.1,"1,3",3,,https://i.imgur.com/8JdfcFF.png,Bi,Simple Interest,A,B,C,D,,Maths,4,Kiran Maths,ssc
31,https://i.imgur.com/DQ9AqHg.png,14.1,"1,3",4,,https://i.imgur.com/nNkaIu4.png,Bi,Simple Interest,A,B,C,D,,Maths,5,Kiran Maths,ssc
