,sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
0,1,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (01).png,,,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
1,2,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (02).png,,,Physics_NEET,1.1,3,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
2,3,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (03).png,,,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
3,4,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (04).png,,,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
4,5,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (05).png,,,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
5,6,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (06).png,,,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
6,7,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (01).png,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
7,8,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (02).png,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
8,9,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (03).png,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
9,10,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (04).png,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
10,11,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (05).png,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
