sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
1,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan01 (01).png,,,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
2,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan01 (02).png,,,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
3,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan01 (03).png,,,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
4,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan01 (04).png,,,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
5,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan01 (05).png,,,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
6,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan01 (06).png,,,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
7,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan02 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(01).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
8,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan02 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(02).png,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
9,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan02 (03).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(03).png,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
10,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan02 (04).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(04).png,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
