sl.no.,correct,Question_link,direction,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,sources,name
1,1,https://i.imgur.com/ahV9Jc6.png,,https://i.imgur.com/NmKibN7.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
2,2,https://i.imgur.com/lYbzhxN.png,,https://i.imgur.com/8CJ0VZB.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
3,2,https://i.imgur.com/MqZM89I.png,,https://i.imgur.com/cn1oxet.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
4,2,https://i.imgur.com/bSDD8dI.png,,https://i.imgur.com/aYGoXQk.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
5,3,https://i.imgur.com/0KuWVRR.png,,https://i.imgur.com/ds8z1LT.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
6,1,https://i.imgur.com/tLrYfKq.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
7,2,https://i.imgur.com/57DC9jo.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
9,2,https://i.imgur.com/HSq9OJ8.png,,https://i.imgur.com/hKBq4ne.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
10,3,https://i.imgur.com/F55UOrE.png,,https://i.imgur.com/eGODUGi.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
11,1,https://i.imgur.com/TEeft1e.png,,https://i.imgur.com/6jNKp1y.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
12,4,https://i.imgur.com/7pSa9OH.png,,https://i.imgur.com/y06ZtGG.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
13,3,https://i.imgur.com/InxAGLN.png,,https://i.imgur.com/BBqTNbI.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
14,1,https://i.imgur.com/7RINUuD.png,,https://i.imgur.com/XZQxkGb.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
15,3,https://i.imgur.com/YWfuw4z.png,,https://i.imgur.com/jvAy5uD.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
16,2,https://i.imgur.com/hPJILCt.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
17,2,https://i.imgur.com/r6as9qk.png,,https://i.imgur.com/p0x5fv1.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
18,1,https://i.imgur.com/qjY8qae.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
20,1,https://i.imgur.com/TuYh0oY.png,,https://i.imgur.com/sF0wgxc.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
21,3,https://i.imgur.com/lujxcMF.png,,https://i.imgur.com/UyMgDhl.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
22,2,https://i.imgur.com/OcYb2qP.png,,https://i.imgur.com/LfB4rbA.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
23,3,https://i.imgur.com/L8MnlpQ.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
24,1,https://i.imgur.com/ykbWCIX.png,,https://i.imgur.com/ODyrIlJ.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
25,2,https://i.imgur.com/mdOrEnX.png,,https://i.imgur.com/cvRN6rR.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
26,3,https://i.imgur.com/VyojwAZ.png,,https://i.imgur.com/Se9DNMy.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
27,2,https://i.imgur.com/GshnVs1.png,,https://i.imgur.com/3Bd3dyy.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
28,1,https://i.imgur.com/eKU1wE7.png,,https://i.imgur.com/xVcDpPQ.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
29,2,https://i.imgur.com/PBWy3y0.png,,https://i.imgur.com/Dz3Azk4.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
