,QuestionLink,category,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,usedFor
0,https://i.imgur.com/g1mxxKp.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/m1fXLaQ.png,Bi,Spelling,A,B,C,D,,English,1,Vidya,ssc
1,https://i.imgur.com/zDTF38u.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/p8WDfxj.png,Bi,Spelling,A,B,C,D,,English,2,Vidya,ssc
2,https://i.imgur.com/YWmw3UR.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/GqLzc8G.png,Bi,Spelling,A,B,C,D,,English,3,Vidya,ssc
3,https://i.imgur.com/DhY4zvk.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/jF88IV5.png,Bi,Spelling,A,B,C,D,,English,4,Vidya,ssc
4,https://i.imgur.com/fVK2hAK.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/fsxqwqG.png,Bi,Spelling,A,B,C,D,,English,5,Vidya,ssc
5,https://i.imgur.com/g3xgY1n.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/Qk98tsP.png,Bi,Spelling,A,B,C,D,,English,6,Vidya,ssc
6,https://i.imgur.com/zAORNrh.png,4.3,1,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/7YxxUoL.png,Bi,Spelling,A,B,C,D,,English,7,Vidya,ssc
7,https://i.imgur.com/iW5JFQL.png,4.3,1,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/yOgZug7.png,Bi,Spelling,A,B,C,D,,English,8,Vidya,ssc
8,https://i.imgur.com/nWBRItZ.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/eb2fRZY.png,Bi,Spelling,A,B,C,D,,English,9,Vidya,ssc
9,https://i.imgur.com/DDfcy2j.png,4.3,4,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/E5wTXF6.png,Bi,Spelling,A,B,C,D,,English,10,Vidya,ssc
10,https://i.imgur.com/MP3ODYN.png,4.3,1,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/nKRhyhD.png,Bi,Spelling,A,B,C,D,,English,11,Vidya,ssc
11,https://i.imgur.com/x94B3OO.png,4.3,1,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/58Sa9UY.png,Bi,Spelling,A,B,C,D,,English,12,Vidya,ssc
12,https://i.imgur.com/j1yCpxM.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/oWI2jyg.png,Bi,Spelling,A,B,C,D,,English,13,Vidya,ssc
13,https://i.imgur.com/SrF6iLw.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/mBet2aX.png,Bi,Spelling,A,B,C,D,,English,14,Vidya,ssc
14,https://i.imgur.com/ff0dd7h.png,4.3,4,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/C2wekif.png,Bi,Spelling,A,B,C,D,,English,15,Vidya,ssc
15,https://i.imgur.com/qCzG7kC.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/gp92uVJ.png,Bi,Spelling,A,B,C,D,,English,16,Vidya,ssc
16,https://i.imgur.com/6EaJ6ZC.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/MjmkIwP.png,Bi,Spelling,A,B,C,D,,English,17,Vidya,ssc
17,https://i.imgur.com/KnCSm1G.png,4.3,1,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/rKQlbNF.png,Bi,Spelling,A,B,C,D,,English,18,Vidya,ssc
18,https://i.imgur.com/yHbIan4.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/ZW3ahrs.png,Bi,Spelling,A,B,C,D,,English,19,Vidya,ssc
19,https://i.imgur.com/gZ10p0e.png,4.3,4,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/bcfxf8B.png,Bi,Spelling,A,B,C,D,,English,20,Vidya,ssc
20,https://i.imgur.com/vncedLf.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/Ll4pB0b.png,Bi,Spelling,A,B,C,D,,English,21,Vidya,ssc
21,https://i.imgur.com/baUL49c.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/bj6LTjc.png,Bi,Spelling,A,B,C,D,,English,22,Vidya,ssc
22,https://i.imgur.com/71bgvkP.png,4.3,3,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/QpJMkW8.png,Bi,Spelling,A,B,C,D,,English,23,Vidya,ssc
23,https://i.imgur.com/3SFppjz.png,4.3,1,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/bo80X0U.png,Bi,Spelling,A,B,C,D,,English,24,Vidya,ssc
24,https://i.imgur.com/fFTmBFU.png,4.3,4,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/EOanst5.png,Bi,Spelling,A,B,C,D,,English,25,Vidya,ssc
25,https://i.imgur.com/AsY7LJ4.png,4.3,4,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/Ln80Atj.png,Bi,Spelling,A,B,C,D,,English,26,Vidya,ssc
26,https://i.imgur.com/hCo36Qa.png,4.3,2,https://i.imgur.com/2zJJVzJ.png,https://i.imgur.com/b48VPG4.png,Bi,Spelling,A,B,C,D,,English,27,Vidya,ssc
