,sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
0,1,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (01).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
1,2,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (02).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
2,3,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (03).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
3,4,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (04).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
4,5,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (05).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
5,6,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (06).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
6,7,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (07).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
7,8,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (08).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
8,9,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (09).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
9,10,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (10).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
10,11,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (11).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
11,12,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (12).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
12,13,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (13).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
13,14,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (14).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
14,15,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (15).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
15,16,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (16).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
16,17,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (17).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
17,18,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (18).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
18,19,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (19).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
19,20,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (20).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
20,21,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (21).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
21,22,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (22).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
22,23,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (23).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
23,26,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (24).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
24,27,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (25).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
25,28,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (26).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
26,29,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (27).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
27,30,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (28).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
28,31,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (29).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
29,32,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (30).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
30,33,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (31).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
31,34,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (32).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
32,35,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (33).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
33,36,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (34).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
34,37,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (35).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
35,38,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (36).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
36,39,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (37).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
37,40,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (38).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
38,41,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (39).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
39,42,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (40).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
40,43,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (41).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
41,44,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (42).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
42,45,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch1 unit/1 (43).png,,,general_science,1.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Unit & Measurement
43,1,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (01).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
44,2,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (02).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
45,3,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (03).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
46,4,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (04).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
47,5,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (05).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
48,6,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (06).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
49,7,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (07).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
50,8,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (08).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
51,9,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (09).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
52,10,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (10).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
53,11,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (11).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
54,12,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (12).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
55,13,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (13).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
56,14,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (14).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
57,15,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (15).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
58,16,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (16).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
