,QuestionLink,category,concepts,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no,source,usedFor
0,https://i.imgur.com/drYR8gE.png,5.1,"1,3",2,,https://i.imgur.com/nsl8pLq.png,Bi,Boat And Stream,A,B,C,D,,Maths,1,Kiran Maths,ssc
1,https://i.imgur.com/SmNXKbZ.png,5.1,"2,3",2,,https://i.imgur.com/RfO0Elx.png,Bi,Boat And Stream,A,B,C,D,,Maths,2,Kiran Maths,ssc
2,https://i.imgur.com/p1juPhw.png,5.1,"1,3,4",2,,https://i.imgur.com/8bZnMG4.png,Bi,Boat And Stream,A,B,C,D,,Maths,3,Kiran Maths,ssc
3,https://i.imgur.com/n5tmh2a.png,5.1,"2,3",4,,https://i.imgur.com/LrTQLOb.png,Bi,Boat And Stream,A,B,C,D,,Maths,4,Kiran Maths,ssc
4,https://i.imgur.com/iGoB3qm.png,5.1,"2,3",2,,https://i.imgur.com/04KQWsU.png,Bi,Boat And Stream,A,B,C,D,,Maths,5,Kiran Maths,ssc
5,https://i.imgur.com/fdSK2Gj.png,5.1,"2,3",4,,https://i.imgur.com/C4bhG22.png,Bi,Boat And Stream,A,B,C,D,,Maths,6,Kiran Maths,ssc
6,https://i.imgur.com/WJwfUrQ.png,5.1,"2,3",4,,https://i.imgur.com/GUq3V2o.png,Bi,Boat And Stream,A,B,C,D,,Maths,7,Kiran Maths,ssc
7,https://i.imgur.com/TIbxayS.png,5.1,"2,3",4,,https://i.imgur.com/2WxgNFm.png,Bi,Boat And Stream,A,B,C,D,,Maths,8,Kiran Maths,ssc
8,https://i.imgur.com/AdpaMFE.png,5.1,"2,3",1,,https://i.imgur.com/Iutv9zU.png,Bi,Boat And Stream,A,B,C,D,,Maths,1,Kiran Maths,ssc
9,https://i.imgur.com/VQl8wLL.png,5.1,"2,3",1,,https://i.imgur.com/gaMvIdh.png,Bi,Boat And Stream,A,B,C,D,,Maths,2,Kiran Maths,ssc
10,https://i.imgur.com/XaFokFm.png,5.1,"2,3",1,,https://i.imgur.com/3ZmC3Jl.png,Bi,Boat And Stream,A,B,C,D,,Maths,3,Kiran Maths,ssc
11,https://i.imgur.com/IplKg7j.png,5.1,"2,3",2,,https://i.imgur.com/dLAXOQ1.png,Bi,Boat And Stream,A,B,C,D,,Maths,4,Kiran Maths,ssc
12,https://i.imgur.com/9TSgOxJ.png,5.1,"2,3",3,,https://i.imgur.com/Gd15DGB.png,Bi,Boat And Stream,A,B,C,D,,Maths,6,Kiran Maths,ssc
13,https://i.imgur.com/rmSaEJG.png,5.1,"2,3",3,,https://i.imgur.com/vKuNUAm.png,Bi,Boat And Stream,A,B,C,D,,Maths,7,Kiran Maths,ssc
14,https://i.imgur.com/ng4HbpU.png,5.1,"2,3",4,,https://i.imgur.com/oNjgjzt.png,Bi,Boat And Stream,A,B,C,D,,Maths,8,Kiran Maths,ssc
15,https://i.imgur.com/Ag0VUG2.png,5.1,"4,3",3,,https://i.imgur.com/yR0V3bd.png,Bi,Boat And Stream,A,B,C,D,,Maths,9,Kiran Maths,ssc
16,https://i.imgur.com/AcAv6k7.png,5.1,"2,3",3,,https://i.imgur.com/rdP1ah2.png,Bi,Boat And Stream,A,B,C,D,,Maths,1,Kiran Maths,ssc
17,https://i.imgur.com/WObx4RF.png,5.1,"2,3",3,,https://i.imgur.com/GHnusTn.png,Bi,Boat And Stream,A,B,C,D,,Maths,2,Kiran Maths,ssc
18,https://i.imgur.com/yMGgbjl.png,5.1,"2,3",3,,https://i.imgur.com/GwrTQaD.png,Bi,Boat And Stream,A,B,C,D,,Maths,3,Kiran Maths,ssc
19,https://i.imgur.com/M58xgV4.png,5.1,"2,3",3,,https://i.imgur.com/eH9iPSR.png,Bi,Boat And Stream,A,B,C,D,,Maths,1,Kiran Maths,ssc
20,https://i.imgur.com/FseWgJ4.png,5.1,"2,3",2,,https://i.imgur.com/JAQV4fP.png,Bi,Boat And Stream,A,B,C,D,,Maths,2,Kiran Maths,ssc
21,https://i.imgur.com/BKtYaQk.png,5.1,"2,3",4,,https://i.imgur.com/H8t13em.png,Bi,Boat And Stream,A,B,C,D,,Maths,3,Kiran Maths,ssc
22,https://i.imgur.com/IPZmi0z.png,5.1,"2,3",3,,https://i.imgur.com/tCKgm4h.png,Bi,Boat And Stream,A,B,C,D,,Maths,4,Kiran Maths,ssc
