,QuestionLink,category,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,usedFor
0,https://i.imgur.com/nvwHJki.png,20.1,1,,https://i.imgur.com/0YUvVfO.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,1,Vidya,ssc
1,https://i.imgur.com/9OdZ3KF.png,20.1,3,,https://i.imgur.com/p0vYrXP.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,2,Vidya,ssc
2,https://i.imgur.com/6ySgvkN.png,20.1,4,,https://i.imgur.com/KlDGaU0.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,3,Vidya,ssc
3,https://i.imgur.com/zxfk2Mz.png,20.1,1,,https://i.imgur.com/Ddugkqu.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,4,Vidya,ssc
4,https://i.imgur.com/gIfhBGZ.png,20.1,2,,https://i.imgur.com/9Np1agO.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,5,Vidya,ssc
5,https://i.imgur.com/sG4CcJI.png,20.1,2,,https://i.imgur.com/ss9Iagc.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,6,Vidya,ssc
6,https://i.imgur.com/ZnrquYi.png,20.1,1,,https://i.imgur.com/zqz7AZz.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,7,Vidya,ssc
7,https://i.imgur.com/UasOLRU.png,20.1,1,,https://i.imgur.com/JtE6kbr.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,8,Vidya,ssc
8,https://i.imgur.com/GK8wpzN.png,20.1,1,,https://i.imgur.com/EOqGNzc.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,9,Vidya,ssc
9,https://i.imgur.com/Hikyfgh.png,20.1,1,,https://i.imgur.com/anpwLuI.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,10,Vidya,ssc
10,https://i.imgur.com/0xh42Ef.png,20.1,1,,https://i.imgur.com/F5qXdYa.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,11,Vidya,ssc
11,https://i.imgur.com/aVenpni.png,20.1,4,,https://i.imgur.com/PBiHMFs.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,12,Vidya,ssc
12,https://i.imgur.com/ejvpg3D.png,20.1,4,,https://i.imgur.com/wDHVzRk.png,Bi,Seating Arrangement,A,B,C,D,,Reasoning,14,Vidya,ssc
