,QuestionLink,category,correct,direction,explanation,lang,name,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,usedFor
0,https://i.imgur.com/Ba6QdmH.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/1WoMVWg.png,Bi,One Word Substituation,A,B,C,D,,English,1,Vidya,ssc
1,https://i.imgur.com/BbE6Spp.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/A7kluqy.png,Bi,One Word Substituation,A,B,C,D,,English,2,Vidya,ssc
2,https://i.imgur.com/BmOzIni.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/RN6wbN7.png,Bi,One Word Substituation,A,B,C,D,,English,3,Vidya,ssc
3,https://i.imgur.com/hHt5ctd.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/hM6COch.png,Bi,One Word Substituation,A,B,C,D,,English,4,Vidya,ssc
4,https://i.imgur.com/ATEjqk8.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/3oh3BvW.png,Bi,One Word Substituation,A,B,C,D,,English,5,Vidya,ssc
5,https://i.imgur.com/hmJdO5E.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/3L3aNrP.png,Bi,One Word Substituation,A,B,C,D,,English,6,Vidya,ssc
6,https://i.imgur.com/MD69ffO.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/acNGobY.png,Bi,One Word Substituation,A,B,C,D,,English,7,Vidya,ssc
7,https://i.imgur.com/c8JzTGr.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/yIrlUTq.png,Bi,One Word Substituation,A,B,C,D,,English,8,Vidya,ssc
8,https://i.imgur.com/Af045ee.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/c0s7nRy.png,Bi,One Word Substituation,A,B,C,D,,English,9,Vidya,ssc
9,https://i.imgur.com/VIbsHsM.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/caFc3pk.png,Bi,One Word Substituation,A,B,C,D,,English,11,Vidya,ssc
10,https://i.imgur.com/ZUehhw1.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/v6e7B30.png,Bi,One Word Substituation,A,B,C,D,,English,12,Vidya,ssc
11,https://i.imgur.com/IvbMYnA.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/6vLYxPs.png,Bi,One Word Substituation,A,B,C,D,,English,13,Vidya,ssc
12,https://i.imgur.com/nDtW8i6.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/dibulQE.png,Bi,One Word Substituation,A,B,C,D,,English,14,Vidya,ssc
13,https://i.imgur.com/PHX06GR.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/wcuFhCc.png,Bi,One Word Substituation,A,B,C,D,,English,15,Vidya,ssc
14,https://i.imgur.com/gOG2la8.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/sFnwlqW.png,Bi,One Word Substituation,A,B,C,D,,English,16,Vidya,ssc
15,https://i.imgur.com/lsn5sAz.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/uufJ5EN.png,Bi,One Word Substituation,A,B,C,D,,English,17,Vidya,ssc
16,https://i.imgur.com/7EYmX5z.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/mDeknXF.png,Bi,One Word Substituation,A,B,C,D,,English,20,Vidya,ssc
17,https://i.imgur.com/QK4g1Ek.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/OyPQQeF.png,Bi,One Word Substituation,A,B,C,D,,English,21,Vidya,ssc
18,https://i.imgur.com/lm39T2d.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/EbTJRaO.png,Bi,One Word Substituation,A,B,C,D,,English,22,Vidya,ssc
19,https://i.imgur.com/GjOJV5r.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/CS5PRyo.png,Bi,One Word Substituation,A,B,C,D,,English,23,Vidya,ssc
20,https://i.imgur.com/UbbE8bT.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/ICd58GX.png,Bi,One Word Substituation,A,B,C,D,,English,24,Vidya,ssc
21,https://i.imgur.com/MFViwxX.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/khLbbsA.png,Bi,One Word Substituation,A,B,C,D,,English,25,Vidya,ssc
22,https://i.imgur.com/Vlr95NX.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/tmByho8.png,Bi,One Word Substituation,A,B,C,D,,English,26,Vidya,ssc
23,https://i.imgur.com/HlsRqb5.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/gpWq0fy.png,Bi,One Word Substituation,A,B,C,D,,English,27,Vidya,ssc
24,https://i.imgur.com/JTmHS8n.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/zgDUqsq.png,Bi,One Word Substituation,A,B,C,D,,English,28,Vidya,ssc
25,https://i.imgur.com/hk7KdnB.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/txeIq82.png,Bi,One Word Substituation,A,B,C,D,,English,29,Vidya,ssc
26,https://i.imgur.com/JGkv0CO.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/FKRhW5Y.png,Bi,One Word Substituation,A,B,C,D,,English,30,Vidya,ssc
27,https://i.imgur.com/Ll38mM2.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/BpC5T76.png,Bi,One Word Substituation,A,B,C,D,,English,31,Vidya,ssc
28,https://i.imgur.com/ls3m5sS.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/04DWOAw.png,Bi,One Word Substituation,A,B,C,D,,English,32,Vidya,ssc
29,https://i.imgur.com/1nbcIK0.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/rSrpxet.png,Bi,One Word Substituation,A,B,C,D,,English,33,Vidya,ssc
30,https://i.imgur.com/PxWDhZB.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/1NpFVTH.png,Bi,One Word Substituation,A,B,C,D,,English,34,Vidya,ssc
31,https://i.imgur.com/X2RuvNX.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/vzAnFLe.png,Bi,One Word Substituation,A,B,C,D,,English,35,Vidya,ssc
32,https://i.imgur.com/WN1BUeO.png,1.3,4,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/8uvP6Fd.png,Bi,One Word Substituation,A,B,C,D,,English,36,Vidya,ssc
33,https://i.imgur.com/fbxaPxj.png,1.3,3,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/t02jgms.png,Bi,One Word Substituation,A,B,C,D,,English,37,Vidya,ssc
34,https://i.imgur.com/vv2MVAZ.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/fmTW4dg.png,Bi,One Word Substituation,A,B,C,D,,English,38,Vidya,ssc
35,https://i.imgur.com/VPpJoGn.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/bjTbooG.png,Bi,One Word Substituation,A,B,C,D,,English,39,Vidya,ssc
36,https://i.imgur.com/ADlyqn1.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/8KFBXiC.png,Bi,One Word Substituation,A,B,C,D,,English,40,Vidya,ssc
37,https://i.imgur.com/8Wfxmgg.png,1.3,2,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/aidxrq0.png,Bi,One Word Substituation,A,B,C,D,,English,41,Vidya,ssc
38,https://i.imgur.com/3P3BKE1.png,1.3,1,https://i.imgur.com/V3TteO4.png,https://i.imgur.com/OT3GtT0.png,Bi,One Word Substituation,A,B,C,D,,English,42,Vidya,ssc
