,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/l4BCxbA.png,1.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/fHnkpGR.png,1.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/Woq00kd.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/WfLPCIC.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/kLrZyty.png,11.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/vEfimo5.png,23.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/zqqprzb.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/BtE6jvp.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/Myscjkg.png,19.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/w0xXgGU.png,26.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/DwbHEY8.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/6cQC6s6.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/MaQJ1il.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/apuLrZH.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/xFk4kS0.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/aSsRToV.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/3Q4wHSx.png,14.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/nYlYmtg.png,14.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
