,correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
1,b,https://i.imgur.com/fGyXECa.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
2,c,https://i.imgur.com/C1psZbf.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
3,c,https://i.imgur.com/f8AlzvD.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
4,b,https://i.imgur.com/jhWam0h.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
1,c,https://i.imgur.com/IyHOJnA.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
2,d,https://i.imgur.com/APHkLiG.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
3,c,https://i.imgur.com/QJ8g7C2.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
4,d,https://i.imgur.com/4jmoiaV.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
5,b,https://i.imgur.com/IQIfOeI.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
1,b,https://i.imgur.com/4EnEEcz.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
2,c,https://i.imgur.com/UT5uiOA.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
3,c,https://i.imgur.com/8ayY0PU.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
1,b,https://i.imgur.com/uegHQRf.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
2,c,https://i.imgur.com/m0sL5d9.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
3,c,https://i.imgur.com/HvZS1Nr.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
1,b,https://i.imgur.com/OBYc1Hg.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
2,a,https://i.imgur.com/vksD4jK.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
3,d,https://i.imgur.com/kCffuRW.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
4,c,https://i.imgur.com/zpuwXI4.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
5,b,https://i.imgur.com/dhRtc47.png,1.1,groupxen,English,Groupx,A,B,C,D,ShriKrishna
