,QuestionLink,category,correct,usedfor,lang,sectionType,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/Zb7hkkU.png,11.1,a,Groupx,English,groupxen,A,B,C,D,Arihant
1,https://i.imgur.com/mKWhrI7.png,2.1,d,Groupx,English,groupxen,A,B,C,D,Arihant
2,https://i.imgur.com/1q4jxgO.png,23.1,d,Groupx,English,groupxen,A,B,C,D,Arihant
3,https://i.imgur.com/AWCA55T.png,4.1,d,Groupx,English,groupxen,A,B,C,D,Arihant
4,https://i.imgur.com/EVWARkN.png,4.1,d,Groupx,English,groupxen,A,B,C,D,Arihant
5,https://i.imgur.com/8hUjWAE.png,15.1,d,Groupx,English,groupxen,A,B,C,D,Arihant
6,https://i.imgur.com/MY7Pgah.png,4.1,d,Groupx,English,groupxen,A,B,C,D,Arihant
7,https://i.imgur.com/92HZAPg.png,15.1,a,Groupx,English,groupxen,A,B,C,D,Arihant
8,https://i.imgur.com/yHrObXp.png,15.1,c,Groupx,English,groupxen,A,B,C,D,Arihant
9,https://i.imgur.com/3SsIR3o.png,29.1,c,Groupx,English,groupxen,A,B,C,D,Arihant
10,https://i.imgur.com/8kcq8dK.png,26.1,b,Groupx,English,groupxen,A,B,C,D,Arihant
11,https://i.imgur.com/JYhAwDG.png,1.1,b,Groupx,English,groupxen,A,B,C,D,Arihant
12,https://i.imgur.com/SfAftV1.png,1.1,a,Groupx,English,groupxen,A,B,C,D,Arihant
