,category,correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,11.1,a,https://i.imgur.com/sfAAMlc.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,11.1,b,https://i.imgur.com/ydq8gqp.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,2.1,c,https://i.imgur.com/pO6Z9lM.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,2.1,b,https://i.imgur.com/INeu3Q3.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,29.1,b,https://i.imgur.com/U0XYTF4.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,29.1,c,https://i.imgur.com/0yARDKR.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,29.1,b,https://i.imgur.com/uq5K46m.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,4.1,b,https://i.imgur.com/fDRUvb9.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,4.1,c,https://i.imgur.com/NzyWTrH.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,4.1,b,https://i.imgur.com/OjbVGAl.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,4.1,a,https://i.imgur.com/TjCV9p0.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,6.1,b,https://i.imgur.com/AnPykdy.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,6.1,c,https://i.imgur.com/fmKHHBw.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,15.1,b,https://i.imgur.com/TPErkfd.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,15.1,c,https://i.imgur.com/BLnCb2Q.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,15.1,d,https://i.imgur.com/BaBMQWF.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,1.1,b,https://i.imgur.com/Z09OPsQ.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,1.1,b,https://i.imgur.com/Eo3KjX9.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,1.1,c,https://i.imgur.com/HOj9deq.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,1.1,c,https://i.imgur.com/06Q5z38.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
