,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/KFMav2i.png,6.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/k5Fy0JS.png,6.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/T8ZW44c.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/kxTSu53.png,4.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/i09cVOM.png,4.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/1Y4mS8f.png,4.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/DoCESDf.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/9mLpZnC.png,4.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/NIqVJa9.png,4.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/U3UfBbC.png,23.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/dcmyeSH.png,26.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
11,https://i.imgur.com/OXSN5Zu.png,11.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
12,https://i.imgur.com/Pz2zBr0.png,11.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
13,https://i.imgur.com/q3zu4ye.png,6.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
14,https://i.imgur.com/kWjX0uw.png,6.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
15,https://i.imgur.com/bLWebs7.png,14.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
16,https://i.imgur.com/TpDvan6.png,29.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
17,https://i.imgur.com/HkX2hgq.png,29.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
18,https://i.imgur.com/sDpnnaP.png,29.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
19,https://i.imgur.com/DV7Ab1v.png,29.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
