,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/FFQPTNy.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/YpBE949.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/kYdKUnW.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/Yzf00hh.png,1.2,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/8zrGxrb.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/vhMq8uB.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/UgESWS4.png,1.5,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/tNbcKEP.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/J8j1oWU.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/IYj5kLl.png,1.2,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
