correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
b,https://i.imgur.com/4D3mfmg.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/6X74YLA.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/rqaQtnT.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/sb0O0MW.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/yarWaHg.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/eu5oY6i.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/yj6aGDJ.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/srJl6Q7.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/FhQmzAz.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/xWMYJlK.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/x57t2q9.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/zADXskH.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/IDnpmec.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/f3m2tnY.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/0UkjLek.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/mH66O4C.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/PyW0oQP.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/Zdax1eI.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/a1sruTs.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/rtMm69O.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/2QaWzNq.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/libaQBc.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/jdt1fob.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/WtckUkh.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/twl0UiJ.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/cWQokux.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/2iExFz3.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/JVEdqqf.png,9.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
