QuestionLink,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source,category
https://i.imgur.com/Deu4nfb.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/FkIdpoN.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/R8m90d3.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/mqaYlmh.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/BZ9bbnp.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/F8HO93S.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/lQWqQLC.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/r9L4oqg.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/SOPZWqY.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/9dtIl1W.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/oEhLpw4.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/d2g4uXN.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/7p7XzHT.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/Y9VrJMi.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/190Ohxf.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/Bm6JsBu.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/SSs9lL5.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/qCxjlZz.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/0rRvcay.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/2dfzDFf.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/rZFXv1Q.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/GenQlUh.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/fkiK3N8.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/Nu23W14.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/zEPSbQq.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/cKa6B4w.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/1JGFRCO.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/QaJYdrz.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/kzlCanJ.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
https://i.imgur.com/O0IyC9e.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,10.1
