QuestionLink,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source,category
https://i.imgur.com/zzYv2Z4.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/bH2DRaD.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/PCV2OVn.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/T79ACTm.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/86D0hOB.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/ypTP6gI.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/iJw3SyD.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/I9vhoje.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/uS7bYSr.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/AHFeWnS.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/suBWc0y.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/Slitp8K.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/h80fydy.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/ToDr6Ij.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/zWZV4Lu.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/bmpqqfH.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/7p1lNlb.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
https://i.imgur.com/fAR9SfW.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,25.1
