QuestionLink,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang ,kum
https://i.imgur.com/A06vZNA.png,a,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/bCRhEvi.png,b,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/NSAvo3R.png,c,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/2Gzy12x.png,b,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/kTU1Ksw.png,c,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/lFL2N6M.png,b,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/MOkxdJ9.png,a,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/RAw0mWo.png,a,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/kfjEfEJ.png,b,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/ycPoivp.png,d,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/ApF3bBS.png,b,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/AYfup9s.png,c,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/93oRpAk.png,a,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/815TmhL.png,c,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/8KfdIqb.png,a,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/PjMwp4w.png,c,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
https://i.imgur.com/TVk4R96.png,b,Hindi,groupxphy,A,B,C,D,Lucent,27.1,Groupx,Hindi,1
