QuestionLink,correct,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang,kum
https://i.imgur.com/JdjX8sr.png,c,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/Ndn1OKz.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/rku6g9X.png,d,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/nH7uXKc.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/pbXE0Bf.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/swfR5Ta.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/lIIdEBB.png,c,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/MXKI50I.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/bEU2Rub.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/JoIj4VF.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/5bO26nc.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/zVJpM0L.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/SicSkX3.png,c,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/gdj70gd.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/SXBUdAF.png,b,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/GXYGLoL.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/GvYy025.png,d,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/BUyKgBx.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/hZlsURr.png,d,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/iUK9qma.png,c,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
https://i.imgur.com/QDzjZB1.png,a,groupxphy,A,B,C,D,Lucent,28.1,Groupx,Hindi,1
