QuestionLink,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor
https://i.imgur.com/wa66s5L.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/OuDDkaK.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/32Ua5dR.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/GCrcVKT.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/9UsuCGX.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/3PR0NT9.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/IZDH556.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/yT0YUHx.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/riDAZFa.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/wCBpiHo.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/ZxBfbfY.png,d,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/iJqtkL8.png,d,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/42AHfg9.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/8aRxGxy.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/Lt3DyDk.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/zmlbnSq.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/VnWFX81.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/iCB0iTX.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/eu8cmBQ.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/Kft7PlR.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/GgATMvy.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/PaHk3K4.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/o6e7acs.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/QvPJyeT.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/eBAlNfQ.png,d,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/24uBrwI.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/EXeTzBU.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/FcJWMpB.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/2g5vEY4.png,b,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/YUyxLU1.png,d,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/uRbWkEf.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/wxZp530.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/9lmqHIH.png,d,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/nBBX47a.png,a,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
https://i.imgur.com/fi1xg7q.png,c,Hindi,groupxphy,A,B,C,D,Lucent,2.1,Groupx
