QuestionLink,correct,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang
https://i.imgur.com/qTL8NnK.png,c,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/7T60Wfw.png,c,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/7IWpQjR.png,a,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/Iw49oq6.png,b,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/54ryDmo.png,d,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/fsSXxcy.png,a,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/R3P6Uze.png,b,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/rutgX8z.png,b,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/MsgEspf.png,a,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/d8TBT0x.png,c,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/dGJve8X.png,a,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/mnxMnt3.png,d,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/cNd9dyW.png,c,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/IuvGVTI.png,b,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
https://i.imgur.com/tbuAEWl.png,a,groupxphy,A,B,C,D,Lucent,33.1,Groupx,Hindi
