QuestionLink,correct,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang 
https://i.imgur.com/IXzu6yE.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/b2cJpLI.png,c,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/HfKia51.png,b,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/G7xr8Ry.png,d,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/wux84fm.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/Lo6WS0F.png,b,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/dAFnyc2.png,b,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/mVffNex.png,c,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/g31X62k.png,d,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/KggKHmi.png,c,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/gbgmhkA.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/zayLMCH.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/ITl57AJ.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/cQJl02h.png,d,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/7OdOGHs.png,d,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/HTwkHiL.png,c,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/p8uaLlP.png,b,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/FghZBQv.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/casBlvL.png,b,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/PQ18geb.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/CwsbECi.png,c,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/qusN95H.png,c,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/2qrf4aG.png,a,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/IgBNvYa.png,d,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
https://i.imgur.com/CJNqs96.png,b,groupxphy,A,B,C,D,Lucent,34.1,Groupx,Hindi
