,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
0, – C)1919,1935,1920,1919,1942,None of these,International Labour Organization(ILO) was established in …………..," :The International Labour Organization (ILO) is a United Nations agency dealing with labour issues, particularly international labour standards, social protection, and work opportunities for all.The ILO has 186 member states: 185 of the 193 UN member states plus the Cook Islands are members of the ILO.",27.1
1," – B)Vienna, Austria","Paris, France","Vienna, Austria","Washington, US","Geneva, Switzerland",None of these,International Atomic Energy headquarters located at ……………..," :The International Atomic Energy Agency (IAEA) is an international organization that seeks to promote the peaceful use of nuclear energy, and to inhibit its use for any military purpose, including nuclear weapons. The IAEA was established as an autonomous organization on 29 July 1957.The IAEA reports to both the United Nations General Assembly and Security Council.The IAEA has its headquarters in Vienna.",27.1
2, – C)194,190,192,194,182,None of these,FAO has …………………. member states," :The Food and Agriculture Organization of the United Nations is an agency of the United Nations that leads international efforts to defeat hunger. FAO has 194 member states, Headquarters: Rome, Italy",27.1
3," – C)Geneva, Switzerland","Rome, Italy","Paris, France","Geneva, Switzerland","London,UK",None of these ,North Atlantic Treaty Organization(NATO) was signed in 1949 at …………..," :The North Atlantic Treaty Organization, also called the North Atlantic Alliance, is an intergovernmental military alliance based on the North Atlantic Treaty which was signed on 4 April 1949. Headquarters: Brussels, Belgium",27.1
4, – A)1954,1954,1982,1972,1993,None of these,South East  Asia Treaty Organizations(SEATO) was established in …………. having its headquarters at Bangkok," :A SEATO conference in Manila. The Southeast Asia Treaty Organization (SEATO) was an international organization for collective defense inSoutheast Asia created by the Southeast Asia Collective Defense Treaty, or Manila Pact, signed in September 1954 in Manila, Philippines.",27.1
5," – B)Paris, France","Geneva, Switzerland","Paris, France","Vienna, Austria","New York, US",None of these,Where is the headquarters of  UNESCO ?," :The United Nations Educational, Scientific and Cultural Organization (UNESCO) is a specialized agency of the United Nations (UN). Its purpose is to contribute to peace and security by promoting international collaboration through education, science, and culture to further universal respect for justice, the rule of law, and human rights along with fundamental freedom proclaimed in the United Nations Charter. UNESCO has 195 member states and nine associate members. Most of its field offices are “cluster” offices covering three or more countries; national and regional offices also exist.",27.1
6, – D)1949,1980,1972,1952,1949,None of these,UNRWA(United Nations Relief and Works Agency for Palestine Refugees in the Near East) is established in …………………………," :Created in December 1949, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) is a relief and human development agency, originally intended to provide jobs on public works projects and direct relief for 652,000 Arab Palestinians who fled or were expelled from their homes during the fighting that followed the end of the British mandate over the region of Palestine.",27.1
7," – A) Washington, D.C.","Washington, D.C.",New York,Geneva,Rome,None of these,The International Monetary Fund(IMF) is an international organization headquartered in  ," :The International Monetary Fund (IMF) is an international organization headquartered in Washington, D.C., of “188 countries working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world Formed in 1944 at the Bretton Woods Conference, it came into formal existence in 1945 with 29 member countries and the goal of reconstructing the international payment system.",27.1
8, – C)Universal Postal Union,Universal Population Union,Unique Postal Universe,Universal Postal Union,United Population Union,None of these,UPU is …………………………………………..," :The Universal Postal Union is a specialized agency of the United Nations that coordinates postal policies among member nations, in addition to the worldwide postal system. French is the official language of the UPU. English was added as a working language in 1994 Headquarters – Bern, Switzerland",27.1
9, – B)1865,1952,1865,1947,1935,None of these,ITU was formed in …………… at the International Telegraph Convention," :ITU(International Telecommunication Union)was formed in 1865 at the International Telegraph Convention; this makes it one of the oldest intergovernmental organization in the world. ITU became a United Nations specialized agency in 1947. Headquarters: Geneva, Switzerland",27.1
10," – A)Washington, D.C, US","Washington, D.C, US","New York, US","Geneva, Switzerland","Vienna, Austria",None of these,International Development Association(IDA)is a member of the World Bank Group and is headquartered in …………………….," :The International Development Association (IDA) is an international financial institution which offers concessional loans and grants to the world’s poorest developing countries. The IDA is a member of the World Bank Group and is headquartered in Washington, D.C., United States. It was established in 1960.",27.1
11, – D)1950,1947,1956,1990,1950,None of these,World Meteorological Organization was established in ………….," :The World Meteorological Organization (WMO) is an intergovernmental organization with a membership of 191 Member States and Territories. It originated from the International Meteorological Organization (IMO), which was founded in 1873 . Established in 1950.It has its headquarters in Geneva, Switzerland.",27.1
12, – A)Bank,Bank,Business,Banking,Bankers,None of these,IBRD  is an international financial institution that offers loans to middle-income developing countries.In that B mean," :The International Bank for Reconstruction and Development (IBRD) is an international financial institution that offers loans to middle-income developing countries. The IBRD is the first of five member institutions that compose the World Bank Group and is headquartered in Washington, D.C., United States. It was established in 1944 .",27.1
13, – C)Economic Group,Cultural Group,Health Group,Economic Group,Social Group,None of these,The Group of 15(G-15) is …………………….," :The Group of 15 (G-15) is an informal forum set up to foster cooperation and provide input for other international groups, such as the World Trade Organization and the Group of Eight. It was established at the Ninth Non-Aligned Movement Summit Meeting in Belgrade, Yugoslavia, in September 1989, and is composed of countries from Latin America, Africa, and Asia with a common goal of enhanced growth and prosperity.",27.1
