,Category,Correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,3.1,d,https://i.imgur.com/HIzF7U7.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
1,4.1,c,https://i.imgur.com/zrhsCdk.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
2,2.1,d,https://i.imgur.com/PCmbmJG.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
3,5.1,b,https://i.imgur.com/BM5c839.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
4,5.1,a,https://i.imgur.com/0VvYvfm.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
5,2.1,b,https://i.imgur.com/5qAySic.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
6,5.1,d,https://i.imgur.com/DuCLDQu.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
7,2.1,d,https://i.imgur.com/1T71Q2O.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
8,2.1,b,https://i.imgur.com/uPF0JgN.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
9,4.1,b,https://i.imgur.com/RVouBtv.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
10,1.1,c,https://i.imgur.com/VFxUcBD.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
11,8.1,d,https://i.imgur.com/CpyX0OS.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
12,5.1,b,https://i.imgur.com/JCKpT0L.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
13,2.1,b,https://i.imgur.com/CcXqYKD.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
14,9.1,a,https://i.imgur.com/OKAuobK.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
15,8.1,d,https://i.imgur.com/Qo2ylPX.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
16,9.1,a,https://i.imgur.com/OiUaEVq.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
17,4.1,a,https://i.imgur.com/zD8Jalf.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
18,8.1,b,https://i.imgur.com/BG39668.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
19,3.1,c,https://i.imgur.com/RSYw1q0.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
20,9.1,c,https://i.imgur.com/ohXGezO.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
21,4.1,a,https://i.imgur.com/B29yMBz.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
22,3.1,a,https://i.imgur.com/7DybvAn.png,groupxphy,Hindi,Groupx,A,B,C,D,Arihant
