,Category,Correct,QuestionLink,sectionType,optionA,optionB,optionC,optionD,source,usedfor,lang
0,4.1,d,https://i.imgur.com/WDPnUtk.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
1,10.1,a,https://i.imgur.com/e4q8lXO.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
2,15.1,d,https://i.imgur.com/c2D1hVS.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
3,2.1,c,https://i.imgur.com/O6Tte6F.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
4,1.1,d,https://i.imgur.com/rM2a7QA.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
5,15.1,a,https://i.imgur.com/G99FHT0.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
6,10.1,d,https://i.imgur.com/jYvnV0w.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
7,6.1,d,https://i.imgur.com/sJoTeHZ.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
8,2.1,a,https://i.imgur.com/RgNzhUK.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
9,5.1,a,https://i.imgur.com/liIQ3x9.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
10,6.1,c,https://i.imgur.com/0SW1OqV.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
11,8.1,a,https://i.imgur.com/gOz3PKH.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
12,6.1,d,https://i.imgur.com/OfNEcSg.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
13,2.1,b,https://i.imgur.com/BWI9XB2.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
14,1.1,b,https://i.imgur.com/LS9m1s7.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
15,10.1,b,https://i.imgur.com/FGLSRwm.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
16,9.1,a,https://i.imgur.com/j5Qo9tG.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
17,2.1,b,https://i.imgur.com/eKmg2IM.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
18,3.1,c,https://i.imgur.com/YbFN4y8.png,groupxmath,A,B,C,D,Arihant,Groupx,Hindi
