,Category,Correct,QuestionLink,sectionType,optionA,optionB,optionC,optionD,source,usedfor,lang
0,3.1,b,https://i.imgur.com/c8jFj6h.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
1,2.1,a,https://i.imgur.com/Nxd7J0K.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
2,3.1,b,https://i.imgur.com/ZriK4Kh.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
3,4.1,c,https://i.imgur.com/RjbUFN5.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
4,2.1,b,https://i.imgur.com/aLD0rfN.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
5,2.1,c,https://i.imgur.com/BIMPlB0.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
6,3.1,d,https://i.imgur.com/ZG0RNIM.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
7,6.1,c,https://i.imgur.com/6IJ3VXy.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
8,7.1,b,https://i.imgur.com/4qv4QNN.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
9,2.1,b,https://i.imgur.com/qBOYsTs.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
10,9.1,a,https://i.imgur.com/lQ5yEhT.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
11,9.1,b,https://i.imgur.com/tyr8f9J.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
12,9.1,b,https://i.imgur.com/Ogx5R8C.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
13,8.1,a,https://i.imgur.com/C0Ot6rL.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
14,9.1,d,https://i.imgur.com/hsDMWIi.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
15,3.1,a,https://i.imgur.com/ZyLGqwO.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
16,9.1,b,https://i.imgur.com/Qc5CLRK.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
17,3.1,b,https://i.imgur.com/ZvIDAm4.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
18,1.1,a,https://i.imgur.com/lx3ncgL.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
19,3.1,c,https://i.imgur.com/nXOVLGJ.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
20,2.1,d,https://i.imgur.com/dDZufe6.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
21,2.1,d,https://i.imgur.com/CECMkiR.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
22,3.1,b,https://i.imgur.com/UyxuwSb.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
23,1.1,b,https://i.imgur.com/vSUTw0X.png,groupxphy,A,B,C,D,Arihant,Groupx,Hindi
