,Category,Correct,QuestionLink,sectionType,usedfor,lang,optionA,optionB,optionC,optionD,source
0,20.1,a,https://i.imgur.com/6mhXO3z.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
1,10.1,a,https://i.imgur.com/6TGYd9Z.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
2,10.1,c,https://i.imgur.com/AsSMAjD.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
3,10.1,b,https://i.imgur.com/hmFQdbG.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
4,16.1,d,https://i.imgur.com/nLqhJVf.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
5,17.1,a,https://i.imgur.com/bH52Huc.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
6,17.1,c,https://i.imgur.com/tVlgsZz.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
7,2.1,c,https://i.imgur.com/ODaBSkg.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
8,1.1,c,https://i.imgur.com/9xKMcwU.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
9,2.1,c,https://i.imgur.com/L4rZS3k.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
10,10.1,c,https://i.imgur.com/f8Y6YLX.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
11,10.1,a,https://i.imgur.com/AvxFgrF.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
12,19.1,a,https://i.imgur.com/uKsDqXl.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
13,10.1,d,https://i.imgur.com/RhRajZi.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
14,14.1,b,https://i.imgur.com/jDZTdGq.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
15,18.1,b,https://i.imgur.com/ISCNGBc.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
16,10.1,a,https://i.imgur.com/l7DIy99.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
17,23.1,a,https://i.imgur.com/QO52CEI.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
18,19.1,b,https://i.imgur.com/Nel2oG5.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
19,10.1,b,https://i.imgur.com/gYJSwt7.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
20,21.1,a,https://i.imgur.com/Xzj81LD.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
21,10.1,b,https://i.imgur.com/or6UXO6.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
