,Category,Correct,QuestionLink,sectionType,usedfor,lang,optionA,optionB,optionC,optionD,source
0,1.1,a,https://i.imgur.com/lpxW2OP.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
1,5.1,a,https://i.imgur.com/HWhA4ti.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
2,8.1,a,https://i.imgur.com/Hs3uDQC.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
3,5.1,d,https://i.imgur.com/HowOLHT.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
4,5.1,b,https://i.imgur.com/53IusMH.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
5,7.1,d,https://i.imgur.com/3iFdZtq.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
6,8.1,b,https://i.imgur.com/wrt7L11.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
7,7.1,c,https://i.imgur.com/4FQXTWu.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
8,5.1,d,https://i.imgur.com/gFSC6iA.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
9,7.1,c,https://i.imgur.com/IPHuyek.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
10,3.1,d,https://i.imgur.com/JrLSGIQ.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
11,5.1,a,https://i.imgur.com/ko7170J.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
12,6.1,d,https://i.imgur.com/UIqR7KF.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
13,3.1,c,https://i.imgur.com/JXKhPyf.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
14,6.1,b,https://i.imgur.com/x8USeFf.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
15,5.1,d,https://i.imgur.com/5ubUU7E.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
16,8.1,c,https://i.imgur.com/evcq7Zl.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
17,8.1,b,https://i.imgur.com/GPWWyyV.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
18,8.1,b,https://i.imgur.com/V2mniC4.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
19,8.1,c,https://i.imgur.com/WI2PuOK.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
20,8.1,c,https://i.imgur.com/0fWNPJg.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
21,9.1,c,https://i.imgur.com/3shzoHO.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
22,5.1,d,https://i.imgur.com/zdbCxKc.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
23,8.1,a,https://i.imgur.com/9e7hIaw.png,groupxmath,Groupx,Hindi,A,B,C,D,Arihant
