,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/XVFah3Z.png,locopilot_electrical,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/cYARZ7p.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/tdH4tSH.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/pAcAKgU.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/GDFaMVU.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/hVmnCct.png,locopilot_electrical,A,B,C,D,21.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,c,https://i.imgur.com/1SJuyqO.png,locopilot_electrical,A,B,C,D,22.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/QGd93Y8.png,locopilot_electrical,A,B,C,D,23.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,c,https://i.imgur.com/BfUoV9A.png,locopilot_electrical,A,B,C,D,24.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/KNED750.png,locopilot_electrical,A,B,C,D,25.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,b,https://i.imgur.com/hTwBLdl.png,locopilot_electrical,A,B,C,D,26.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/Y5va9fQ.png,locopilot_electrical,A,B,C,D,27.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,b,https://i.imgur.com/ev3ULk4.png,locopilot_electrical,A,B,C,D,28.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/t4jrTvm.png,locopilot_electrical,A,B,C,D,29.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,d,https://i.imgur.com/sDBR4tf.png,locopilot_electrical,A,B,C,D,30.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/04LIQuW.png,locopilot_electrical,A,B,C,D,31.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/v9LsonS.png,locopilot_electrical,A,B,C,D,33.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,b,https://i.imgur.com/a9pUFaU.png,locopilot_electrical,A,B,C,D,34.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,b,https://i.imgur.com/uYjLBKf.png,locopilot_electrical,A,B,C,D,35.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/cmM6qpC.png,locopilot_electrical,A,B,C,D,36.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,d,https://i.imgur.com/YOpQTqK.png,locopilot_electrical,A,B,C,D,37.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,d,https://i.imgur.com/CSQMWlW.png,locopilot_electrical,A,B,C,D,38.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/OjSlCeG.png,locopilot_electrical,A,B,C,D,39.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,b,https://i.imgur.com/w1dGRDe.png,locopilot_electrical,A,B,C,D,40.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,d,https://i.imgur.com/uVUf7e5.png,locopilot_electrical,A,B,C,D,41.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,d,https://i.imgur.com/5tOAHVA.png,locopilot_electrical,A,B,C,D,42.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,c,https://i.imgur.com/es6TRS1.png,locopilot_electrical,A,B,C,D,43.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/kWgGIN8.png,locopilot_electrical,A,B,C,D,44.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,d,https://i.imgur.com/NawE6LN.png,locopilot_electrical,A,B,C,D,45.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/1EFtVBJ.png,locopilot_electrical,A,B,C,D,46.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,a,https://i.imgur.com/UZKS7n2.png,locopilot_electrical,A,B,C,D,47.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/KnNrP2s.png,locopilot_electrical,A,B,C,D,48.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,b,https://i.imgur.com/cNEtFsu.png,locopilot_electrical,A,B,C,D,49.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/3aL5ZQ8.png,locopilot_electrical,A,B,C,D,50.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,c,https://i.imgur.com/hiW9A7b.png,locopilot_electrical,A,B,C,D,51.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,c,https://i.imgur.com/BFxZUin.png,locopilot_electrical,A,B,C,D,52.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,a,https://i.imgur.com/e4T0YrK.png,locopilot_electrical,A,B,C,D,53.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,c,https://i.imgur.com/n1HSKED.png,locopilot_electrical,A,B,C,D,54.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
