sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/pQiUmIH.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://i.imgur.com/1FKTdZt.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/apq4iS2.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/bBewKWL.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/HfpF2Do.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/2Ja8XuM.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,d,https://i.imgur.com/6JBoFwl.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/mWeUWGH.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/lh0HGQO.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/IhKzc9N.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,d,https://i.imgur.com/mmoWoy7.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/ciWprTP.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/Qaq31ai.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/OdOW7aI.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/MeD70Kq.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/YiSRknR.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/DhLJEks.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/xVIUqwd.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,d,https://i.imgur.com/YSVWAPG.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,b,https://i.imgur.com/dCdtj8Q.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/nERH4Eb.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,b,https://i.imgur.com/9maJ1BA.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/IO6ozMf.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,b,https://i.imgur.com/zrNce3O.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/iO49sVx.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/UIlRzX3.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,a,https://i.imgur.com/gXt9uGC.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,d,https://i.imgur.com/LLPFVDN.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,c,https://i.imgur.com/T9mPYSt.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/hJa213C.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,b,https://i.imgur.com/E0JGxWo.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,b,https://i.imgur.com/yOEKE9v.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,c,https://i.imgur.com/VxENw3e.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/5NQvOQ7.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,c,https://i.imgur.com/JKBYnlQ.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/6RmIrCi.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,b,https://i.imgur.com/1Ewmb2U.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,a,https://i.imgur.com/igEbQEP.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,d,https://i.imgur.com/kak1iNr.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,d,https://i.imgur.com/oU1sBRD.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,c,https://i.imgur.com/Gg2tQVD.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,c,https://i.imgur.com/sTbECoU.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,c,https://i.imgur.com/kAAnWc5.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,c,https://i.imgur.com/sjNqTp6.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,a,https://i.imgur.com/nMfdIuG.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,d,https://i.imgur.com/5HjhE0f.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,c,https://i.imgur.com/zELlrz6.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,a,https://i.imgur.com/unGmeVb.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,d,https://i.imgur.com/dt3LaVg.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,c,https://i.imgur.com/2BY0vch.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,c,https://i.imgur.com/Mg05J88.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,a,https://i.imgur.com/NP3N4C7.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,b,https://i.imgur.com/nAUoKxa.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,c,https://i.imgur.com/sfocgFU.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,a,https://i.imgur.com/zjUFDaN.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,c,https://i.imgur.com/mob6P0e.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,c,https://i.imgur.com/dDzjid7.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,d,https://i.imgur.com/9bdBvQh.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,a,https://i.imgur.com/HzMWT0i.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,b,https://i.imgur.com/EGxfchI.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,b,https://i.imgur.com/KpkJ3CH.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,b,https://i.imgur.com/A93kKF6.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,b,https://i.imgur.com/CqS8th7.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,b,https://i.imgur.com/hNWwG5r.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,c,https://i.imgur.com/peB76cn.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,b,https://i.imgur.com/eOWN7PP.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,c,https://i.imgur.com/F8FoQ15.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,d,https://i.imgur.com/xdlnoAW.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,b,https://i.imgur.com/EPnVhW4.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,c,https://i.imgur.com/IsFYhKN.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,a,https://i.imgur.com/mOODBdt.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,b,https://i.imgur.com/8v1aC8A.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,b,https://i.imgur.com/TF0PWZu.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,b,https://i.imgur.com/MUo4P2R.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,c,https://i.imgur.com/Bncz0GM.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,c,https://i.imgur.com/EQ7PKVR.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,b,https://i.imgur.com/HzRqwXN.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,c,https://i.imgur.com/lCKpfFI.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,b,https://i.imgur.com/WgGz0gC.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
