SL.NO.,correct,QuestionLink,section Type,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/ghxtM2n.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,A,https://i.imgur.com/twzNbfG.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,D,https://i.imgur.com/7DoAPyf.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,D,https://i.imgur.com/LmSEReV.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,C,https://i.imgur.com/OxTSMYy.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,D,https://i.imgur.com/2sNP1i8.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,B,https://i.imgur.com/bZ0ksSN.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/8AxmtiF.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/aaMBwh7.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,A,https://i.imgur.com/V7OVPJe.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,D,https://i.imgur.com/yq3K2yb.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,C,https://i.imgur.com/zgU05t5.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,B,https://i.imgur.com/x5YKdyw.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,C,https://i.imgur.com/fon3OEP.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,B,https://i.imgur.com/LYBmYA3.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,B,https://i.imgur.com/4O6ESjU.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,D,https://i.imgur.com/a4SXpzi.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,B,https://i.imgur.com/61XdtIM.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/2qMVFXp.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,A,https://i.imgur.com/4xmFjKd.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/gyAG1Wu.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,D,https://i.imgur.com/JPr90cr.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,B,https://i.imgur.com/Ec8CdRd.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,A,https://i.imgur.com/i2INUjz.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/ABnT5No.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,C,https://i.imgur.com/iWL375k.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,A,https://i.imgur.com/y6IUGs4.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,B,https://i.imgur.com/AS8SEt0.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/KoHWuRS.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,C,https://i.imgur.com/8Qo7lqV.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,C,https://i.imgur.com/pr2xv44.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,A,https://i.imgur.com/OvSWQuk.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,A,https://i.imgur.com/vAMhfYK.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/z6ReTh8.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,B,https://i.imgur.com/eYzgMNL.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/H4CxZTK.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,C,https://i.imgur.com/nvBeb7F.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/8d60fjw.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,B,https://i.imgur.com/WejQm9Q.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,C,https://i.imgur.com/czqpIff.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,C,https://i.imgur.com/qx0kUqh.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,D,https://i.imgur.com/jZmb6HP.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,D,https://i.imgur.com/qH3ZFIn.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,A,https://i.imgur.com/b7czJ9z.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,A,https://i.imgur.com/1b8s7q4.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,B,https://i.imgur.com/EAMDXvx.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,C,https://i.imgur.com/Zlk6V4B.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,A,https://i.imgur.com/rAwxVxZ.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,C,https://i.imgur.com/aih0kHP.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,C,https://i.imgur.com/ozxtXyJ.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/J2mc2T4.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,C,https://i.imgur.com/hwN2tqR.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,A,https://i.imgur.com/i7r4N7F.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,D,https://i.imgur.com/mgvP9YY.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
