sl.no.,correct,QuestionLink,Direction,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/9jBd2hi.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
2,a,https://i.imgur.com/kWhPQf4.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
3,a,https://i.imgur.com/maD6tVr.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
4,b,https://i.imgur.com/jjPMBI6.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
5,c,https://i.imgur.com/t7BRVMI.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
6,d,https://i.imgur.com/bqnI8Ee.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
7,c,https://i.imgur.com/CeLUPpZ.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
8,d,https://i.imgur.com/4gmKig2.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
10,b,https://i.imgur.com/Y3hDv8K.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
11,b,https://i.imgur.com/OlH2NbU.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
12,b,https://i.imgur.com/zfkEVaX.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
13,c,https://i.imgur.com/ZlPWFQn.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
14,c,https://i.imgur.com/Vcyw4yj.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
15,b,https://i.imgur.com/MvM3n2W.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
16,c,https://i.imgur.com/PwXpP2l.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
17,a,https://i.imgur.com/bTrm00E.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
18,c,https://i.imgur.com/Oo5I8qz.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/BurOIXq.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
21,b,https://i.imgur.com/7CmIKMo.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
22,d,https://i.imgur.com/TlHTlUZ.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
23,d,https://i.imgur.com/2nRXHI6.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
24,c,https://i.imgur.com/hxhDs9u.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/5HaAnwa.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
26,a,https://i.imgur.com/6pOpYNF.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
27,a,https://i.imgur.com/HxYApik.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
28,d,https://i.imgur.com/obNN2xb.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
29,d,https://i.imgur.com/yS0BjFp.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
30,c,https://i.imgur.com/YTphEsM.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
31,a,https://i.imgur.com/LZcSZQR.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
32,b,https://i.imgur.com/626SQza.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
33,d,https://i.imgur.com/mKfDmtE.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
35,a,https://i.imgur.com/0nEKoVV.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
36,b,https://i.imgur.com/bzyJlPZ.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
37,a,https://i.imgur.com/ceqe8UE.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
38,b,https://i.imgur.com/muyCZvO.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
39,d,https://i.imgur.com/IqOREOK.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
40,c,https://i.imgur.com/ncBuz8W.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
41,d,https://i.imgur.com/bJRFIvL.png,https://i.imgur.com/5prkqZC.png,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
42,a,https://i.imgur.com/oQhASBV.png,https://i.imgur.com/5prkqZC.png,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN
