sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/Z4Q4WRz.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
2,c,https://i.imgur.com/dd2CqKc.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
3,d,https://i.imgur.com/1HMpfwo.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
4,d,https://i.imgur.com/yNffljI.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
5,c,https://i.imgur.com/6TVrnk1.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
6,c,https://i.imgur.com/6FIzHEz.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
8,b,https://i.imgur.com/4RXhcnT.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
9,b,https://i.imgur.com/9gmnfNf.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
10,a,https://i.imgur.com/MmNt2vX.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
11,a,https://i.imgur.com/4jPyjdj.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
12,d,https://i.imgur.com/5AZbvUg.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
13,d,https://i.imgur.com/kJQCxqt.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
14,c,https://i.imgur.com/goNKWBY.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
15,a,https://i.imgur.com/DvvCKqt.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
16,c,https://i.imgur.com/0X3vCcs.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
17,d,https://i.imgur.com/VrSfKF5.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
18,d,https://i.imgur.com/jAfF7oA.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/CPzVdDD.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
20,b,https://i.imgur.com/rWo874R.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
21,d,https://i.imgur.com/26kIZbc.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
23,c,https://i.imgur.com/WPlQSYZ.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
24,c,https://i.imgur.com/DoPMy6c.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
25,d,https://i.imgur.com/QEuH5H7.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
26,d,https://i.imgur.com/L6JcsWY.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
27,d,https://i.imgur.com/gjjKaf3.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
28,a,https://i.imgur.com/HFVVage.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
29,a,https://i.imgur.com/4cZRCM2.png,Reasoning,A,B,C,D,16.1,SSC,Hindi,JEN
