SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,D,https://i.imgur.com/UdD8f4T.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,A,https://i.imgur.com/mHglkGs.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,C,https://i.imgur.com/M4qLQor.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,B,https://i.imgur.com/w44g2GQ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,D,https://i.imgur.com/yrD8Umf.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,C,https://i.imgur.com/WQvTj5b.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,B,https://i.imgur.com/VVm3aqH.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,D,https://i.imgur.com/SDUWrS3.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/LvsQ8Kg.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,C,https://i.imgur.com/bCUlH1T.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,B,https://i.imgur.com/ao5nYrp.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,B,https://i.imgur.com/D4zQViF.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,C,https://i.imgur.com/0TcXrjO.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,D,https://i.imgur.com/Nr0BKFk.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
