sl.no.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,C,https://i.imgur.com/UkSoo4s.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,C,https://i.imgur.com/A0R6LKS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,C,https://i.imgur.com/ed2Bkaw.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,A,https://i.imgur.com/HmuGN4S.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,A,https://i.imgur.com/QkL6mxT.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,C,https://i.imgur.com/hBLQoz8.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/kHiUFqN.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/8bU3gmh.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/cR9DD65.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,A,https://i.imgur.com/KanaE0O.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/m6s1Uqh.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,C,https://i.imgur.com/o4hVhMV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,A,https://i.imgur.com/qZ6u9vm.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,A,https://i.imgur.com/MTN3UkV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/g3ovjuW.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,C,https://i.imgur.com/K7erdn5.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,A,https://i.imgur.com/qScSVtS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,D,https://i.imgur.com/7tCcY7a.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,C,https://i.imgur.com/q4dHnC9.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/DGJRFNk.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,D,https://i.imgur.com/jWD5pLs.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,B,https://i.imgur.com/8bmrcfV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/96UUFBo.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/w8BAyot.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/VvzofDY.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,C,https://i.imgur.com/ainvSEU.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,B,https://i.imgur.com/ggKVxbu.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/OqrysqJ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,C,https://i.imgur.com/DiXFw9Y.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,A,https://i.imgur.com/GPr9KRd.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,D,https://i.imgur.com/F0SODh4.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,C,https://i.imgur.com/DJ1GrX2.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/4zs5FWy.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,B,https://i.imgur.com/RMcDdaS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/G7m3v3j.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/t8eLP2Z.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,D,https://i.imgur.com/e1oaKrF.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,B,https://i.imgur.com/clWpHa6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,C,https://i.imgur.com/a3XOIoW.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,C,https://i.imgur.com/dzufETG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,C,https://i.imgur.com/HNHXcYl.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,C,https://i.imgur.com/TMx6v8R.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,D,https://i.imgur.com/BmfwlvO.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,C,https://i.imgur.com/GSk7KdR.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,C,https://i.imgur.com/7VAilko.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,A,https://i.imgur.com/nHcJGcT.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,A,https://i.imgur.com/oE1Lq5a.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,D,https://i.imgur.com/Jrq4wKc.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,A,https://i.imgur.com/v0685g3.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,B,https://i.imgur.com/7ShYbh7.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,B,https://i.imgur.com/RJwkQz0.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,D,https://i.imgur.com/uU24iQF.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,B,https://i.imgur.com/Td8SKFl.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,C,https://i.imgur.com/trhQ9oh.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,A,https://i.imgur.com/AZM54f5.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,B,https://i.imgur.com/v7jSSrf.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,C,https://i.imgur.com/cY26GUb.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,B,https://i.imgur.com/tKDDQMI.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,B,https://i.imgur.com/g1gsDfy.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,B,https://i.imgur.com/OZ99bIu.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,B,https://i.imgur.com/cLoK3ti.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,B,https://i.imgur.com/jWadwQw.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/6jA73Tp.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,D,https://i.imgur.com/L0xrNU6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,A,https://i.imgur.com/oKUVoHy.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,C,https://i.imgur.com/50SegQq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,B,https://i.imgur.com/O88uyH6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,C,https://i.imgur.com/A1Aa8vq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,D,https://i.imgur.com/ytq52gf.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,B,https://i.imgur.com/SJUh302.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,C,https://i.imgur.com/HfBC9iO.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,D,https://i.imgur.com/DD2aSjR.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,A,https://i.imgur.com/0YUK14N.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,C,https://i.imgur.com/clH5jAV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,B,https://i.imgur.com/9DEYhMC.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
