,sl.no.,correct,QuestionLink,direction,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
0,1,a,https://i.imgur.com/NMnmOOF.png,,https://i.imgur.com/Fn8DFGS.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
1,2,a,https://i.imgur.com/FjGJbbN.png,,https://i.imgur.com/5Tunjd6.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
2,3,b,https://i.imgur.com/d2LtaLN.png,,https://i.imgur.com/lnn0O4j.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
3,5,c,https://i.imgur.com/xZPKnrN.png,,https://i.imgur.com/ffKWEzM.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
4,6,d,https://i.imgur.com/CjiMwb5.png,,https://i.imgur.com/6Sild8G.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
5,7,a,https://i.imgur.com/nUB5Veu.png,,https://i.imgur.com/mMfoGpB.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
6,8,c,https://i.imgur.com/yZGLJvR.png,,https://i.imgur.com/5QD34EY.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
7,9,b,https://i.imgur.com/5OQUQxA.png,,https://i.imgur.com/kQ4lA3b.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
8,10,a,https://i.imgur.com/HSqeQG1.png,,https://i.imgur.com/nPgK0qV.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
9,11,a,https://i.imgur.com/X23a9t6.png,,https://i.imgur.com/G0UD2mA.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
10,12,a,https://i.imgur.com/fegVkFV.png,,https://i.imgur.com/VIueBx9.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
11,13,b,https://i.imgur.com/eNiZsdf.png,,https://i.imgur.com/qHMXP15.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
12,14,a,https://i.imgur.com/ttlEbL6.png,,https://i.imgur.com/0Fx9c5E.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
13,15,d,https://i.imgur.com/ZOvvfom.png,,https://i.imgur.com/1suDOFu.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
14,16,a,https://i.imgur.com/m33CQ2g.png,,https://i.imgur.com/KLcSnaN.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
