,sl.no.,correct,QuestionLink,direction,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
0,1,b,https://i.imgur.com/a0kDp49.png,,https://i.imgur.com/aMjqR07.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
1,2,b,https://i.imgur.com/aIxwprS.png,,https://i.imgur.com/gfDbkJ1.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
2,4,b,https://i.imgur.com/fB1pLbp.png,,https://i.imgur.com/Lg04dym.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
3,5,c,https://i.imgur.com/4Rrvwr1.png,,https://i.imgur.com/7TktwoX.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
4,6,d,https://i.imgur.com/QbTRMBC.png,,https://i.imgur.com/0NprPdJ.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
5,7,d,https://i.imgur.com/yUvJdVm.png,,https://i.imgur.com/7f7GNO7.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
6,8,b,https://i.imgur.com/3pRUn26.png,,https://i.imgur.com/doZmLxN.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
7,9,a,https://i.imgur.com/XDaID08.png,,https://i.imgur.com/9JGWJrR.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
8,10,d,https://i.imgur.com/gRQarTk.png,,https://i.imgur.com/beN2bjU.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
9,11,d,https://i.imgur.com/AjRxVRB.png,,https://i.imgur.com/G4S5K5X.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
10,12,a,https://i.imgur.com/ApWthWE.png,,https://i.imgur.com/FQLq9vB.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
11,13,d,https://i.imgur.com/I6qMNSY.png,,https://i.imgur.com/s0aPhfr.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
12,14,c,https://i.imgur.com/GFYNAgD.png,,https://i.imgur.com/EjqZ1Go.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
13,15,a,https://i.imgur.com/6IiOlox.png,,https://i.imgur.com/E7I867S.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
14,16,d,https://i.imgur.com/dEs4Aqb.png,,https://i.imgur.com/N05pknR.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
15,18,b,https://i.imgur.com/l9vMBvD.png,,https://i.imgur.com/SxvWmT4.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
16,19,d,https://i.imgur.com/xnOm49S.png,,https://i.imgur.com/6njdObN.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
17,20,b,https://i.imgur.com/Jmcmu5l.png,,https://i.imgur.com/TYtmQ9t.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
18,21,a,https://i.imgur.com/h0ChMz4.png,,https://i.imgur.com/v12aHzn.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
19,22,a,https://i.imgur.com/vE6mxKZ.png,,https://i.imgur.com/1LBQmax.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
20,23,c,https://i.imgur.com/8hlk2R8.png,,https://i.imgur.com/qbxKAcZ.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
21,24,b,https://i.imgur.com/cwKiwwM.png,,https://i.imgur.com/psHNTeD.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
22,25,a,https://i.imgur.com/EXILFjP.png,,https://i.imgur.com/kv0TxHT.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
23,26,b,https://i.imgur.com/3TlKWqD.png,,https://i.imgur.com/P6SsTEZ.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
24,27,c,https://i.imgur.com/IMb3Ztd.png,,https://i.imgur.com/Cv98Unw.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
25,28,d,https://i.imgur.com/MPNvEW9.png,,https://i.imgur.com/GEtaRNm.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
26,30,b,https://i.imgur.com/OzNQNKM.png,,https://i.imgur.com/Fnm9TUA.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
27,31,b,https://i.imgur.com/6jaeBdL.png,,https://i.imgur.com/1y2fFgm.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
28,32,d,https://i.imgur.com/5OIifoG.png,,https://i.imgur.com/DmNyBOV.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
29,33,b,https://i.imgur.com/eJFTRwl.png,,https://i.imgur.com/5ymzZdY.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
30,34,c,https://i.imgur.com/piAVbpa.png,,https://i.imgur.com/siYU5ku.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
31,35,d,https://i.imgur.com/1yU1DRm.png,,https://i.imgur.com/CKAXc7u.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
32,36,d,https://i.imgur.com/5FfM1wM.png,,https://i.imgur.com/sgpSelM.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
33,37,d,https://i.imgur.com/9BsyTH3.png,,https://i.imgur.com/sg8HiJE.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
34,38,b,https://i.imgur.com/QncM6n4.png,,https://i.imgur.com/svF9ZQ3.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
35,39,c,https://i.imgur.com/A6lKvjI.png,,https://i.imgur.com/1LM6JFt.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
36,40,d,https://i.imgur.com/403JZ3U.png,,https://i.imgur.com/SYHWyEf.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
37,41,d,https://i.imgur.com/i8yz88n.png,,https://i.imgur.com/qxkigPd.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
38,42,b,https://i.imgur.com/k0d7iN6.png,,https://i.imgur.com/1BirWgF.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
39,43,d,https://i.imgur.com/hwLaLAD.png,,https://i.imgur.com/He4PWbG.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
40,45,c,https://i.imgur.com/PUVifEj.png,,https://i.imgur.com/1YEsFtt.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
41,46,a,https://i.imgur.com/Jl6uQKM.png,,https://i.imgur.com/KbNkQrg.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
42,47,c,https://i.imgur.com/qdcG7cc.png,,https://i.imgur.com/xsZ2RTk.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
43,48,d,https://i.imgur.com/AomkqCK.png,,https://i.imgur.com/omSonxl.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
44,49,c,https://i.imgur.com/c6WV2kq.png,,https://i.imgur.com/2dx6CdF.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
45,50,d,https://i.imgur.com/v0o6nqS.png,,https://i.imgur.com/4t9749H.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
46,51,b,https://i.imgur.com/gxhZM2j.png,,https://i.imgur.com/KBA48K1.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
47,52,a,https://i.imgur.com/N97EPs9.png,,https://i.imgur.com/AoFqq0m.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
48,53,a,https://i.imgur.com/0ONuiD1.png,,https://i.imgur.com/Z2NUOPb.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
49,54,d,https://i.imgur.com/M5GpN7J.png,,https://i.imgur.com/ItuuUy7.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
50,55,a,https://i.imgur.com/CyuwDFX.png,,https://i.imgur.com/n8mNBUP.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
51,56,a,https://i.imgur.com/6lPOGFJ.png,,https://i.imgur.com/TnMJvey.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
52,57,d,https://i.imgur.com/Yycs3WW.png,,https://i.imgur.com/eYodf9Q.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
53,58,d,https://i.imgur.com/vRFWTL3.png,,https://i.imgur.com/NSk5XnZ.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
54,59,a,https://i.imgur.com/P5j5uCY.png,,https://i.imgur.com/aGwJ4z3.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
55,60,c,https://i.imgur.com/0mLjWml.png,,https://i.imgur.com/58DJGT1.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
56,61,d,https://i.imgur.com/ANNSnKY.png,,https://i.imgur.com/DabH0tv.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
57,62,a,https://i.imgur.com/Shk6tCj.png,,https://i.imgur.com/j45ehMH.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
58,63,c,https://i.imgur.com/qVcwo4S.png,,https://i.imgur.com/uLEM0zK.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
59,64,a,https://i.imgur.com/KrCUaEU.png,,https://i.imgur.com/jHTwLOo.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
60,65,b,https://i.imgur.com/fhcE55N.png,,https://i.imgur.com/96gOV7h.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
61,66,a,https://i.imgur.com/TXGnAQ8.png,,https://i.imgur.com/N5KuA2V.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
62,67,a,https://i.imgur.com/abPzQf3.png,,https://i.imgur.com/vcFpn9W.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
63,68,d,https://i.imgur.com/u0xAcET.png,,https://i.imgur.com/Izki7CZ.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
64,69,b,https://i.imgur.com/Ngk3eIV.png,,https://i.imgur.com/UQlySio.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
65,70,a,https://i.imgur.com/sJH7ZhU.png,,https://i.imgur.com/rqIes1f.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
66,71,d,https://i.imgur.com/uz82Gmv.png,,https://i.imgur.com/7CAxWdR.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
67,72,b,https://i.imgur.com/nzVKwQM.png,,https://i.imgur.com/T10iJE5.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
68,74,a,https://i.imgur.com/YUWfvGE.png,,https://i.imgur.com/JVToXng.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
69,75,b,https://i.imgur.com/yBQdrdV.png,,https://i.imgur.com/f3PEGR4.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
70,76,d,https://i.imgur.com/MqKnqkU.png,,https://i.imgur.com/2988sQC.png,EngineeringDrawingLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Drawing Instruments & Accessories
71,1,a,https://i.imgur.com/X4sm9z6.png,,https://i.imgur.com/gHWcztw.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
72,2,c,https://i.imgur.com/aTJvAAE.png,,https://i.imgur.com/u4TVWtO.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
73,3,a,https://i.imgur.com/BeV53bg.png,,https://i.imgur.com/Fp4y7AB.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
74,4,c,https://i.imgur.com/TFAoZjs.png,,https://i.imgur.com/ZxsSSN9.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
75,5,c,https://i.imgur.com/TtyVSwo.png,,https://i.imgur.com/sdEMcy6.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
76,6,d,https://i.imgur.com/VVPQbXY.png,,https://i.imgur.com/nbsOLFH.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
77,7,b,https://i.imgur.com/bqDicdJ.png,,https://i.imgur.com/TUBlxkY.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
78,8,c,https://i.imgur.com/1k7KhDS.png,,https://i.imgur.com/uyz3cnK.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
79,9,a,https://i.imgur.com/GVjxqbd.png,,https://i.imgur.com/LdnCcBT.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
80,10,a,https://i.imgur.com/5XP6von.png,,https://i.imgur.com/xH7auaz.png,EngineeringDrawingLocopilot,A,B,C,D,4.1,ALP,Hindi,RRB,Geometry Figures
