,sl.no.,correct,QuestionLink,direction,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
0,1,b,https://i.imgur.com/KyjUF9q.png,,https://i.imgur.com/SD7xLVY.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
1,2,a,https://i.imgur.com/4OJJPka.png,,https://i.imgur.com/vKaZmHz.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
2,4,d,https://i.imgur.com/DC908Aj.png,,https://i.imgur.com/JQv5N1K.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
3,5,a,https://i.imgur.com/zz49eBS.png,,https://i.imgur.com/XFn1u4D.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
4,6,b,https://i.imgur.com/OhdxZOt.png,,https://i.imgur.com/49XxIeu.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
5,7,a,https://i.imgur.com/x4agzkp.png,,https://i.imgur.com/HoZkGQm.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
6,8,c,https://i.imgur.com/c5Y4qkH.png,,https://i.imgur.com/lpwhvpj.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
7,11,a,https://i.imgur.com/Aupu9QZ.png,,https://i.imgur.com/EHsHG8A.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
8,12,c,https://i.imgur.com/GEkaolN.png,,https://i.imgur.com/8ttSaFI.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
9,13,a,https://i.imgur.com/QKne81x.png,,https://i.imgur.com/EInzk83.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
10,14,b,https://i.imgur.com/rIXSWgL.png,,https://i.imgur.com/nPOlEmW.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
11,15,c,https://i.imgur.com/oGVrMcQ.png,,https://i.imgur.com/I4xMc0J.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
12,16,a,https://i.imgur.com/lBR2mB0.png,,https://i.imgur.com/YQpkyXe.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
13,17,a,https://i.imgur.com/IGotJ7t.png,,https://i.imgur.com/1nJNs52.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
14,18,d,https://i.imgur.com/YD8TphI.png,,https://i.imgur.com/lvVHu4v.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
15,19,d,https://i.imgur.com/ujIhS1t.png,,https://i.imgur.com/8kwUzHG.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
16,20,b,https://i.imgur.com/UPLGAcq.png,,https://i.imgur.com/YKlOdOP.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
17,21,b,https://i.imgur.com/Z4QXiWA.png,,https://i.imgur.com/1UWiAg5.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
18,22,c,https://i.imgur.com/BM1r0qW.png,,https://i.imgur.com/fumEz1Q.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
19,23,c,https://i.imgur.com/KoWCRko.png,,https://i.imgur.com/kGzn3TT.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
20,24,d,https://i.imgur.com/SdIwy2U.png,,https://i.imgur.com/ObsK89V.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
21,26,d,https://i.imgur.com/a9zY8V8.png,,https://i.imgur.com/JAKuJg0.png,EnvironmentStudyLocopilot,A,B,C,D,3.1,ALP,Hindi,RRB,paryavaran sanraksan se sambndit vivin rastiya avm antrrastiya sangathan avm sammelan
22,1,c,https://i.imgur.com/rwpKpBG.png,,https://i.imgur.com/4YE7LTZ.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
23,2,b,https://i.imgur.com/FwWyxMQ.png,,https://i.imgur.com/krbqneo.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
24,3,a,https://i.imgur.com/Tolr7Jr.png,,https://i.imgur.com/weUvNg2.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
25,4,b,https://i.imgur.com/HiLxsSd.png,,https://i.imgur.com/zF5giUM.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
26,5,d,https://i.imgur.com/JPd6PWM.png,,https://i.imgur.com/KSkVLoJ.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
27,7,c,https://i.imgur.com/FXnIeAt.png,,https://i.imgur.com/PZP57qY.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
28,8,d,https://i.imgur.com/0o4BcsR.png,,https://i.imgur.com/jKTwcBv.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
29,9,d,https://i.imgur.com/ayYtL6z.png,,https://i.imgur.com/4MFBHDM.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
30,10,b,https://i.imgur.com/LRZI2ZV.png,,https://i.imgur.com/mWOPKOP.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
31,11,d,https://i.imgur.com/IqXvedG.png,,https://i.imgur.com/IHjjtZt.png,EnvironmentStudyLocopilot,A,B,C,D,6.1,ALP,Hindi,RRB,Climate Change
32,1,a,https://i.imgur.com/gKxfsfV.png,,https://i.imgur.com/Z0iSdKy.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
33,2,d,https://i.imgur.com/4UsXy7l.png,,https://i.imgur.com/XKT5UWK.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
34,3,d,https://i.imgur.com/oJxCR5t.png,,https://i.imgur.com/ROVpG20.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
35,4,b,https://i.imgur.com/hv6CNu7.png,,https://i.imgur.com/Mo1O9sV.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
36,5,b,https://i.imgur.com/GLA1D3L.png,,https://i.imgur.com/dmt4ePE.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
37,6,d,https://i.imgur.com/RzsRVqa.png,,https://i.imgur.com/G5KfyEY.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
38,7,d,https://i.imgur.com/64fHGPv.png,,https://i.imgur.com/IJ57B8L.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
39,8,b,https://i.imgur.com/xbtjRgC.png,,https://i.imgur.com/LpAmXQ7.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
40,9,c,https://i.imgur.com/1Ic4TDu.png,,https://i.imgur.com/g89Ao3Y.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
41,10,c,https://i.imgur.com/ivhLQO5.png,,https://i.imgur.com/3WXgr69.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
42,11,c,https://i.imgur.com/J5MiyQI.png,,https://i.imgur.com/j54w6J2.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
43,12,c,https://i.imgur.com/t4PxvXs.png,,https://i.imgur.com/f0ZucV8.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
44,13,c,https://i.imgur.com/8SHOw9t.png,,https://i.imgur.com/2Wk9Z9W.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
45,14,d,https://i.imgur.com/zw0wx5D.png,,https://i.imgur.com/plA90jO.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
46,15,b,https://i.imgur.com/WnNYzKw.png,,https://i.imgur.com/XpCqM2I.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
47,16,c,https://i.imgur.com/R4a16OA.png,,https://i.imgur.com/TypGuZk.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
48,17,c,https://i.imgur.com/5VxVS4K.png,,https://i.imgur.com/oNvI7yI.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
49,18,c,https://i.imgur.com/Cj4EIDM.png,,https://i.imgur.com/CVweVoI.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
50,19,c,https://i.imgur.com/W8ndXw0.png,,https://i.imgur.com/l3MqGJZ.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
51,20,a,https://i.imgur.com/jAjy7EH.png,,https://i.imgur.com/uivrsBk.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
52,21,b,https://i.imgur.com/ZUgyBno.png,,https://i.imgur.com/swc6peJ.png,EnvironmentStudyLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Energy Resource
