SL.NO.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,sources,name
1,c,https://i.imgur.com/tiZm1dd.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
2,d,https://i.imgur.com/kOtRPsr.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
3,c,https://i.imgur.com/aLVzSR3.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
5,d,https://i.imgur.com/1evZ1Y7.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
6,d,https://i.imgur.com/E6N4YQV.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
8,d,https://i.imgur.com/JeGoC3J.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
9,d,https://i.imgur.com/ydYdPdY.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
10,b,https://i.imgur.com/IexjvLx.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
11,b,https://i.imgur.com/yuYCNFy.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
12,a,https://i.imgur.com/JjeyPFW.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
13,d,https://i.imgur.com/AnBJmAX.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
14,d,https://i.imgur.com/WVKdme6.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
15,c,https://i.imgur.com/qpH6K97.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
16,c,https://i.imgur.com/alCpmCU.png,loco_civil,A,B,C,D,13.5,loco_civil,bi,JEN,Steel Beams
