sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,,https://i.imgur.com/zpqFUlb.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
3,,https://i.imgur.com/iQm6WGl.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
4,,https://i.imgur.com/jnazqW1.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
5,,https://i.imgur.com/L09bIji.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
6,,https://i.imgur.com/eqiGTMx.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
7,,https://i.imgur.com/8LAl4Vl.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
9,,https://i.imgur.com/c7nmm7E.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
10,,https://i.imgur.com/0gyFUbL.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
19,,https://i.imgur.com/wKHCkYd.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
20,,https://i.imgur.com/t8AfHGi.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
22,,https://i.imgur.com/yREXxeG.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
23,,https://i.imgur.com/gobbaAJ.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
24,,https://i.imgur.com/0pTTlzt.png,loco_civil,A,B,C,D,2.9,loco_civil,bi,JEN
