sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/Z0Y4r51.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
2,c,https://i.imgur.com/xcdZt2U.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
3,b,https://i.imgur.com/zed4Tgb.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
4,d,https://i.imgur.com/1tGWOHO.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
5,d,https://i.imgur.com/TEBSSCT.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
6,b,https://i.imgur.com/4glWmEF.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
7,d,https://i.imgur.com/cQdn1OM.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
8,d,https://i.imgur.com/xeldPJS.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
9,a,https://i.imgur.com/K36PCTz.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
10,d,https://i.imgur.com/eYjMtIR.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
11,b,https://i.imgur.com/CbXHxm2.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
12,a,https://i.imgur.com/LnStj1k.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
13,d,https://i.imgur.com/zmV6mlu.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
14,b,https://i.imgur.com/vP064Xh.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
15,b,https://i.imgur.com/jopvGac.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
16,c,https://i.imgur.com/PMocNch.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
17,d,https://i.imgur.com/ZPGOHua.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
18,c,https://i.imgur.com/fpmVqOI.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
19,d,https://i.imgur.com/7RTkFtR.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
20,d,https://i.imgur.com/DI7BeEj.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
21,b,https://i.imgur.com/2whxD1H.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
22,a,https://i.imgur.com/oSRsIDw.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
23,a,https://i.imgur.com/DmDRwqa.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
25,a,https://i.imgur.com/PJKi1Wx.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/AyDQDqR.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
27,b,https://i.imgur.com/3RsvCO6.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
28,c,https://i.imgur.com/6DQcfqs.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
29,c,https://i.imgur.com/FNYRaoS.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
30,c,https://i.imgur.com/UPZ3Tag.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
31,d,https://i.imgur.com/ObyqE3z.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
32,c,https://i.imgur.com/yZXC8LJ.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
34,c,https://i.imgur.com/lLqFm72.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
35,c,https://i.imgur.com/FPVkoy8.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
36,c,https://i.imgur.com/1lDU0Qz.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
37,c,https://i.imgur.com/s2qLsX8.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
38,b,https://i.imgur.com/7GKXwQc.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
39,d,https://i.imgur.com/6Pzhgcu.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
40,b,https://i.imgur.com/74s5ob7.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
41,b,https://i.imgur.com/tHHD8NX.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
42,d,https://i.imgur.com/lGczhph.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
43,a,https://i.imgur.com/kB2Lg1U.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
44,a,https://i.imgur.com/K6IniSK.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
45,b,https://i.imgur.com/VD3chRZ.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
46,a,https://i.imgur.com/VTm9kXS.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
47,b,https://i.imgur.com/DM5KpJj.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
48,b,https://i.imgur.com/Wxtkf9e.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
49,a,https://i.imgur.com/x5cYHRc.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
50,a,https://i.imgur.com/Ux1AktZ.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
51,a,https://i.imgur.com/Q0dtKye.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
52,c,https://i.imgur.com/JytOHVI.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
53,a,https://i.imgur.com/43MUAsf.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
54,a,https://i.imgur.com/qBPxSK1.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
55,b,https://i.imgur.com/c2mseLx.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
57,b,https://i.imgur.com/wQbMIVT.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
58,b,https://i.imgur.com/rrXRKIq.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
59,c,https://i.imgur.com/SqyilqG.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
60,b,https://i.imgur.com/xU1NkyF.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
61,a,https://i.imgur.com/65kn6jr.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
62,b,https://i.imgur.com/zEDpEne.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
63,a,https://i.imgur.com/S7Ux1bF.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
64,a,https://i.imgur.com/fEazBV5.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
65,d,https://i.imgur.com/NXBkz9c.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
66,b,https://i.imgur.com/NttCkGI.png,locopilot_diesel,A,B,C,D,5.1,locopilot_diesel,Hindi,JEN
