sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,d,https://i.imgur.com/A3NnPUJ.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
2,d,https://i.imgur.com/WjMo6pr.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
3,b,https://i.imgur.com/r59hFVp.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
4,c,https://i.imgur.com/XjY48cL.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
5,a,https://i.imgur.com/cdlEw0e.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
6,c,https://i.imgur.com/VlftazS.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
7,a,https://i.imgur.com/FdWUT7G.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
8,b,https://i.imgur.com/8dKQrvu.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
9,b,https://i.imgur.com/h429BGt.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
10,c,https://i.imgur.com/hkUBNdK.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
11,a,https://i.imgur.com/rw9mQQh.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
13,b,https://i.imgur.com/jexxkhj.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
14,d,https://i.imgur.com/IKIRbOb.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
15,d,https://i.imgur.com/bPPoX05.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
16,a,https://i.imgur.com/p0uCLpe.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
17,b,https://i.imgur.com/SN4UbFw.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
18,d,https://i.imgur.com/85AMxvn.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
19,c,https://i.imgur.com/th3kY0R.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
20,a,https://i.imgur.com/uP6p8Yk.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
21,c,https://i.imgur.com/3VtF4wx.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
22,b,https://i.imgur.com/qHAPjoJ.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
23,c,https://i.imgur.com/y7TrXfw.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
24,c,https://i.imgur.com/Uj1zlzL.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
25,b,https://i.imgur.com/RbnY2RL.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
26,d,https://i.imgur.com/xsvyDKM.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
27,d,https://i.imgur.com/QOJWovy.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
