,sl.no.,correct,Question_link,direction,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,sources,name
0,1,a,https://i.imgur.com/PsqABuI.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
1,2,a,https://i.imgur.com/hslrjkJ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
2,3,d,https://i.imgur.com/X4S1rZ3.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
3,4,a,https://i.imgur.com/EU82zHB.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
4,5,d,https://i.imgur.com/qAS6rMG.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
5,6,a,https://i.imgur.com/dfQjfsp.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
6,7,a,https://i.imgur.com/eg6DhES.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
7,9,c,https://i.imgur.com/0elleGV.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
8,10,d,https://i.imgur.com/jFkTJwJ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
9,11,a,https://i.imgur.com/fc3ZhdD.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
10,12,a,https://i.imgur.com/UcWzZer.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
11,13,b,https://i.imgur.com/EIUp6iP.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
12,14,a,https://i.imgur.com/XnKK0Ms.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
13,15,c,https://i.imgur.com/eK58G91.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
14,16,a,https://i.imgur.com/trVeiU8.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
15,17,a,https://i.imgur.com/SSQH0vd.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
16,18,b,https://i.imgur.com/rR84l2e.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
17,19,d,https://i.imgur.com/yG2F33I.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
18,20,d,https://i.imgur.com/6VJLAeX.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
19,21,a,https://i.imgur.com/a1SYf3g.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
20,22,d,https://i.imgur.com/Azj3c61.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
21,23,b,https://i.imgur.com/YWOpy9l.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
22,24,b,https://i.imgur.com/VwA38qB.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
23,25,a,https://i.imgur.com/6w2Knff.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
24,26,b,https://i.imgur.com/tF3IsNx.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
25,27,a,https://i.imgur.com/Ttk7p45.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
26,28,c,https://i.imgur.com/7O4rssK.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
