sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/CIfiPB2.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://i.imgur.com/zMC3LWk.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/OQcYRKJ.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/JuqRtR4.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/Z0Yo07k.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/T8HRuaa.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/fBnoWlJ.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/Iw6lR75.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,d,https://i.imgur.com/E49tXw6.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/w3Zyg93.png,locopilot_fitter,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
