sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/D9ZZnyB.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/rY5HTyu.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/5QjVxM5.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,d,https://i.imgur.com/YYZrOkU.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,c,https://i.imgur.com/nmBUSI8.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/CWgDOMg.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/9zZYuQF.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/WFcq85b.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/7sAQNaw.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/oIGBk2k.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/JvFZux4.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/2w6GhLr.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,b,https://i.imgur.com/yg7NjKZ.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/6pch2tM.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/ujPxLzE.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/Rwo2meg.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,d,https://i.imgur.com/JEgcnl8.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,b,https://i.imgur.com/oNs8xH3.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,c,https://i.imgur.com/ZXPhz39.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,c,https://i.imgur.com/xKT4cxe.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,a,https://i.imgur.com/hIT5eYP.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/qXYXuA3.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/HCgluoW.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,b,https://i.imgur.com/vd59nVc.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,c,https://i.imgur.com/h3etrNv.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/pxt05g9.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,a,https://i.imgur.com/OW7oke8.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,a,https://i.imgur.com/2knodu3.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,c,https://i.imgur.com/LZFqdjO.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,d,https://i.imgur.com/lma8sg1.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,b,https://i.imgur.com/janCMTf.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,a,https://i.imgur.com/05bnJMw.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,a,https://i.imgur.com/pBBAKWI.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,c,https://i.imgur.com/HWFxhMf.png,locopilot_fitter,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
