sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/2pZ8kMm.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
2,b,https://i.imgur.com/fNNMT7a.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
3,a,https://i.imgur.com/pV0sHDy.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
4,a,https://i.imgur.com/FFbbqkm.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
5,d,https://i.imgur.com/FNX9wuK.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
6,a,https://i.imgur.com/Uik0QlJ.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
7,a,https://i.imgur.com/uGCq8xI.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
8,a,https://i.imgur.com/6AyRaIY.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
10,a,https://i.imgur.com/0iW1Ycp.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
11,b,https://i.imgur.com/3xsOAoW.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
12,b,https://i.imgur.com/8OH45jf.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
13,b,https://i.imgur.com/ftpKqH1.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
14,b,https://i.imgur.com/qrZznML.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
15,b,https://i.imgur.com/yt85NrJ.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
16,c,https://i.imgur.com/LhcbaAZ.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
17,b,https://i.imgur.com/F3J3wvy.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
18,b,https://i.imgur.com/1Ge6pka.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
19,d,https://i.imgur.com/qnLKKoR.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
20,c,https://i.imgur.com/qzKaAiK.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
21,b,https://i.imgur.com/DAbGCQN.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
22,b,https://i.imgur.com/lkI4iRO.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
24,b,https://i.imgur.com/gYCY64z.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
25,b,https://i.imgur.com/coU5wno.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
26,a,https://i.imgur.com/DbhDIpT.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
27,a,https://i.imgur.com/Bu35wpt.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
28,d,https://i.imgur.com/6U42sM1.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
29,d,https://i.imgur.com/PTQRXKZ.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
30,a,https://i.imgur.com/a95lwOM.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
31,d,https://i.imgur.com/hLBW2XI.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
32,a,https://i.imgur.com/dnQvY7t.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
33,a,https://i.imgur.com/P0OLkYJ.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
34,c,https://i.imgur.com/fxClD7l.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
35,c,https://i.imgur.com/vVDYPpf.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
36,d,https://i.imgur.com/Y468PHH.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
37,b,https://i.imgur.com/jcT3Nqz.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
38,c,https://i.imgur.com/yZIKloR.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
39,a,https://i.imgur.com/XsBxb2G.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
40,b,https://i.imgur.com/gmlafm1.png,genral_science,A,B,C,D,13.1,SSC_GD,Hindi,JEN
